Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,236.35714285714286,237.659793814433,228.35,249.02083333333334,237.64285714285714,235.90721649484536,239.96470588235294,237.94845360824743,237.05050505050505,235.07142857142858
Corn - Dough,217.64948453608247,217.94,209.87,227.2164948453608,218.16,215.97916666666666,217.4,218.57142857142858,215.94845360824743,215.07142857142858
Corn - Emerged,132.49484536082474,135.62,134.48,157.9578947368421,140.54166666666666,135.07142857142858,143.69072164948454,137.0,141.59375,138.97894736842105
Corn - Harvested,281.47,289.35714285714283,277.98,300.8645833333333,287.3030303030303,282.9895833333333,290.6185567010309,286.83838383838383,285.0103092783505,261.6666666666667
Corn - Mature,257.74,264.35,251.87,274.30526315789473,261.9191919191919,256.2142857142857,268.16129032258067,256.14285714285717,256.6363636363636,254.49411764705883
Corn - Planted,120.37113402061856,121.57142857142857,123.28,148.47826086956522,125.0,121.65263157894736,135.64285714285714,121.95833333333333,131.50537634408602,130.09278350515464
Corn - Silking,192.99,195.19,185.44,205.70833333333334,197.93,193.3298969072165,197.69791666666666,194.64285714285714,194.0,194.74747474747474
Soybeans - Blooming,196.29473684210527,196.45,187.05,209.31578947368422,199.8762886597938,195.42857142857142,200.89473684210526,193.85416666666666,192.05208333333334,193.01063829787233
Soybeans - Dropping,266.8659793814433,265.64285714285717,257.2395833333333,275.4166666666667,267.85858585858585,261.35869565217394,264.7083333333333,258.4141414141414,256.1505376344086,252.97752808988764
Soybeans - Emerged,152.13829787234042,152.63,141.4020618556701,166.69230769230768,150.67708333333334,141.02083333333334,149.24742268041237,139.38541666666666,148.86315789473684,143.3125
Soybeans - Harvested,288.47,284.65,283.37,296.23,284.969696969697,288.2526315789474,288.35714285714283,284.49484536082474,282.41237113402065,264.0
Soybeans - Planted,142.26041666666666,141.31958762886597,132.59,159.55913978494624,135.79381443298968,127.96875,140.62626262626262,124.79381443298969,135.39583333333334,130.94736842105263
Soybeans - Setting,213.39175257731958,211.78,201.61,223.76344086021504,213.22680412371133,211.96875,215.92307692307693,207.2921348314607,207.78571428571428,210.05154639175257
