Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,237.78787878787878,239.28125,235.5,253.45263157894738,241.23076923076923,239.51546391752578,244.875,245.03225806451613,241.58,242.3578947368421
Corn - Dough,221.03030303030303,220.61458333333334,216.33333333333334,232.82105263157894,220.659793814433,218.23958333333334,222.1340206185567,222.4375,221.21875,220.69473684210527
Corn - Emerged,143.6153846153846,141.34782608695653,139.33333333333334,162.72043010752688,143.48936170212767,140.51041666666666,147.67708333333334,142.4742268041237,147.21428571428572,143.11702127659575
Corn - Harvested,288.8041237113402,294.48387096774195,285.5473684210526,300.6458333333333,291.18279569892474,290.3076923076923,292.41052631578947,296.7157894736842,286.90425531914894,260.5625
Corn - Mature,260.0103092783505,264.22105263157897,255.86,275.2061855670103,262.9157894736842,260.5154639175258,267.5052631578947,265.9782608695652,261.020202020202,255.75
Corn - Planted,133.67021276595744,126.76923076923077,129.07142857142858,153.23076923076923,130.50526315789475,128.75531914893617,138.71134020618555,130.8556701030928,137.0744680851064,132.74193548387098
Corn - Silking,198.06315789473683,200.09,190.76288659793815,210.24719101123594,199.01030927835052,197.38541666666666,201.57575757575756,199.6595744680851,199.42857142857142,200.11458333333334
Soybeans - Blooming,197.56382978723406,197.71875,189.97894736842105,213.90322580645162,196.91752577319588,197.96,200.03125,199.88297872340425,197.22916666666666,198.9578947368421
Soybeans - Dropping,263.0833333333333,262.14285714285717,255.35051546391753,273.5208333333333,261.35,258.4226804123711,263.25,263.125,258.0416666666667,254.0
Soybeans - Emerged,155.76842105263157,155.39175257731958,145.22680412371133,170.15384615384616,150.15463917525773,147.07,152.92929292929293,145.4949494949495,149.28571428571428,147.62886597938143
Soybeans - Harvested,288.8958333333333,285.5326086956522,285.62105263157895,293.6458333333333,285.4639175257732,289.90425531914894,286.9479166666667,287.6063829787234,283.34375,263.625
Soybeans - Planted,146.05208333333334,142.15625,134.35714285714286,161.96774193548387,137.71428571428572,135.38,143.9,132.44329896907217,140.3939393939394,135.14736842105262
Soybeans - Setting,213.75257731958763,213.03125,203.38947368421051,229.07692307692307,213.03157894736842,212.95876288659792,217.2020202020202,215.07608695652175,211.97938144329896,213.09375
