Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,237.07142857142858,242.9278350515464,234.63917525773195,249.08247422680412,236.5,236.41237113402062,240.3939393939394,235.14285714285714,240.340206185567,237.4020618556701
Corn - Dough,218.22680412371133,222.35714285714286,216.7263157894737,227.72164948453607,217.62886597938143,215.98969072164948,219.85714285714286,215.4949494949495,216.55208333333334,215.31958762886597
Corn - Emerged,136.3939393939394,140.07142857142858,140.46464646464648,151.33,136.62626262626262,137.3838383838384,144.85714285714286,138.84848484848484,142.1958762886598,138.04040404040404
Corn - Harvested,295.42857142857144,302.0625,298.7291666666667,308.42105263157896,287.55670103092785,291.7894736842105,292.2061855670103,290.020202020202,287.7578947368421,262.8666666666667
Corn - Mature,261.5257731958763,266.64285714285717,258.02061855670104,277.08247422680415,259.020202020202,261.0927835051546,263.57142857142856,256.7142857142857,262.7878787878788,254.7
Corn - Planted,120.89,126.0,129.5050505050505,134.18,120.57575757575758,120.76767676767676,134.54545454545453,124.35,128.07142857142858,123.33333333333333
Corn - Silking,196.71428571428572,200.28571428571428,193.0,205.48958333333334,198.14285714285714,198.26041666666666,202.43298969072166,197.67676767676767,199.0,198.14285714285714
Soybeans - Blooming,195.27835051546393,197.10309278350516,191.76041666666666,205.35714285714286,193.09278350515464,190.76767676767676,198.10309278350516,192.37373737373738,195.625,192.67708333333334
Soybeans - Dropping,264.03125,265.35714285714283,260.54639175257734,273.69072164948454,260.4343434343434,261.2857142857143,265.9479166666667,260.57142857142856,264.42857142857144,258.6385542168675
Soybeans - Emerged,150.53535353535352,152.07142857142858,149.02020202020202,163.92857142857142,145.92857142857142,144.59595959595958,152.08080808080808,144.16,150.20618556701032,143.2020202020202
Soybeans - Harvested,286.78350515463916,290.5,293.92857142857144,296.14285714285717,278.1818181818182,283.43,282.8181818181818,281.8181818181818,279.4040404040404,265.94117647058823
Soybeans - Planted,137.48,139.2020202020202,138.27272727272728,151.41414141414143,127.92929292929293,127.47,139.7,129.74,135.86868686868686,127.51
Soybeans - Setting,210.14285714285714,212.04123711340208,206.27083333333334,222.55208333333334,208.79166666666666,206.6060606060606,213.59595959595958,209.6969696969697,213.9278350515464,209.57142857142858
