Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,235.92857142857142,236.85714285714286,230.28571428571428,238.14285714285714,234.16666666666666,236.70103092783506,236.92708333333334,234.65656565656565,233.93939393939394,235.31
Corn - Dough,218.2659574468085,219.3298969072165,212.1578947368421,221.28571428571428,214.02061855670104,215.52631578947367,219.90526315789472,216.15463917525773,212.53,214.16494845360825
Corn - Emerged,134.60416666666666,140.50526315789475,137.84848484848484,147.1010101010101,140.1578947368421,137.80232558139534,142.83870967741936,139.07692307692307,138.01030927835052,137.7263157894737
Corn - Harvested,279.02,282.92857142857144,278.71276595744683,287.13,280.55670103092785,277.1855670103093,275.6082474226804,275.83,272.8144329896907,260.2758620689655
Corn - Mature,257.88,255.89473684210526,252.20833333333334,262.56,257.2142857142857,257.37373737373736,255.3838383838384,251.75,251.26262626262627,251.02298850574712
Corn - Planted,119.8659793814433,126.41111111111111,126.4639175257732,132.95959595959596,127.20618556701031,123.55421686746988,128.13541666666666,125.61538461538461,125.40625,123.08510638297872
Corn - Silking,192.53608247422682,195.53125,189.9375,201.16494845360825,195.34736842105264,195.6236559139785,199.0212765957447,195.41489361702128,193.42,194.31578947368422
Soybeans - Blooming,202.36363636363637,199.74736842105264,193.4468085106383,211.7340425531915,197.3,198.30769230769232,204.30769230769232,198.61702127659575,201.4,198.24137931034483
Soybeans - Dropping,270.85227272727275,263.78125,263.64367816091954,273.59375,262.9157894736842,264.75555555555553,263.6777777777778,258.86170212765956,262.4731182795699,257.3157894736842
Soybeans - Emerged,161.91666666666666,157.6,149.76923076923077,166.25806451612902,153.36559139784947,152.9418604651163,155.8,146.81176470588235,152.86666666666667,150.367816091954
Soybeans - Harvested,295.1914893617021,291.6276595744681,301.5,299.6701030927835,288.4842105263158,293.39130434782606,288.55913978494624,284.54347826086956,286.7708333333333,266.6
Soybeans - Planted,153.37078651685394,148.1888888888889,140.87234042553192,157.0,143.8421052631579,141.4,144.8586956521739,135.45454545454547,141.33695652173913,135.0
Soybeans - Setting,221.12222222222223,218.0531914893617,210.22471910112358,226.09677419354838,213.1264367816092,217.0,222.53846153846155,214.92391304347825,220.32258064516128,218.69565217391303
