Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,230.5625,231.07142857142858,228.29166666666666,235.68,232.18947368421053,233.76923076923077,233.42857142857142,232.7578947368421,232.17171717171718,232.78787878787878
Corn - Dough,217.4516129032258,217.69791666666666,213.9247311827957,221.83838383838383,218.32978723404256,217.66666666666666,218.8736842105263,218.61052631578949,218.49473684210525,214.43478260869566
Corn - Emerged,130.6931818181818,135.30208333333334,140.20833333333334,140.5252525252525,135.38888888888889,133.29787234042553,141.5108695652174,134.31958762886597,140.16129032258064,140.34831460674158
Corn - Harvested,268.8,274.1354166666667,269.7083333333333,271.8,273.9684210526316,277.4947368421053,275.1111111111111,279.1313131313131,270.81052631578945,255.9811320754717
Corn - Mature,249.59595959595958,249.78787878787878,245.39175257731958,252.41,250.1818181818182,252.07070707070707,253.45,252.50526315789475,249.42,244.74444444444444
Corn - Planted,118.31521739130434,123.5578947368421,128.7340425531915,130.19,122.73118279569893,118.69565217391305,130.28571428571428,121.3298969072165,127.27777777777777,128.47727272727272
Corn - Silking,188.7741935483871,187.44210526315788,186.0,195.09473684210528,194.90526315789472,191.48387096774192,194.08080808080808,193.23076923076923,191.90625,191.23076923076923
Soybeans - Blooming,203.9506172839506,201.16666666666666,198.69767441860466,208.3846153846154,201.25,198.72222222222223,200.05555555555554,199.3975903614458,198.8068181818182,199.367816091954
Soybeans - Dropping,268.5833333333333,267.03614457831327,263.17283950617286,269.97849462365593,265.0833333333333,264.1625,265.69135802469134,265.19736842105266,260.4166666666667,252.7719298245614
Soybeans - Emerged,159.71052631578948,157.75555555555556,152.70731707317074,162.9111111111111,151.64634146341464,148.70731707317074,152.92222222222222,144.32530120481928,150.16666666666666,151.19277108433735
Soybeans - Harvested,290.0860215053763,291.1025641025641,288.8125,291.09375,290.0632911392405,291.5542168674699,287.13953488372096,288.1111111111111,284.421686746988,262.25
Soybeans - Planted,149.5375,146.04597701149424,144.32558139534885,152.10752688172042,140.37209302325581,136.29885057471265,141.75531914893617,130.09411764705882,137.0,136.8780487804878
Soybeans - Setting,220.11111111111111,214.91860465116278,210.79518072289156,223.23076923076923,213.6024096385542,211.27272727272728,216.4516129032258,214.8409090909091,214.29473684210527,213.2659574468085
