Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,246.7888888888889,247.32584269662922,242.64367816091954,259.02298850574715,244.69230769230768,244.6067415730337,245.60416666666666,245.95180722891567,245.16842105263157,244.56179775280899
Corn - Dough,226.14117647058825,227.83333333333334,224.91666666666666,237.86206896551724,226.07608695652175,223.70212765957447,224.22680412371133,229.07865168539325,227.92631578947368,222.08602150537635
Corn - Emerged,150.04347826086956,150.36170212765958,148.42528735632183,166.3578947368421,149.24705882352941,143.17525773195877,149.91397849462365,148.72826086956522,150.1340206185567,147.32291666666666
Corn - Harvested,303.0240963855422,299.9166666666667,298.1707317073171,313.93243243243245,299.29411764705884,295.6470588235294,299.51162790697674,304.67088607594934,292.61538461538464,268.0
Corn - Mature,267.96629213483146,271.0,265.01149425287355,283.7590361445783,268.0,264.64516129032256,270.1182795698925,271.56756756756755,267.48,260.2708333333333
Corn - Planted,138.1578947368421,137.0,136.5625,151.69230769230768,135.9891304347826,129.2421052631579,140.58762886597938,138.15384615384616,138.98947368421054,134.35051546391753
Corn - Silking,204.6153846153846,205.46153846153845,201.2962962962963,215.41975308641975,205.8842105263158,201.48453608247422,206.69,207.59302325581396,204.11340206185568,204.7835051546392
Soybeans - Blooming,200.59139784946237,198.2,197.35555555555555,213.3684210526316,202.06,197.33,198.01,201.0,198.84536082474227,198.57731958762886
Soybeans - Dropping,265.32978723404256,262.0515463917526,261.5698924731183,271.2105263157895,259.65656565656565,256.83,260.0,263.9230769230769,260.27,256.0487804878049
Soybeans - Emerged,155.67708333333334,156.7659574468085,153.5529411764706,172.10526315789474,153.11340206185568,146.65,155.05050505050505,151.09677419354838,152.60416666666666,151.7422680412371
Soybeans - Harvested,294.8953488372093,284.53846153846155,294.69662921348316,298.4,289.0729166666667,292.0689655172414,289.38947368421054,294.0240963855422,282.62886597938143,267.5
Soybeans - Planted,146.3,146.38541666666666,145.46511627906978,161.49473684210525,139.76,132.65,144.53,138.57142857142858,142.71428571428572,138.28571428571428
Soybeans - Setting,216.70526315789473,213.06382978723406,214.07692307692307,228.75,213.54,208.53,212.5,217.8736842105263,215.47,214.94
