Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,239.9285714,245.5520833,239.0104167,255.0714286,240,240.8865979,247.7142857,238.0927835,249.6774194,244.6421053
Corn - Dough,220.3571429,224.2604167,219.628866,230.1428571,219.6363636,221.0412371,227.4742268,216.4848485,224.7634409,224.0638298
Corn - Emerged,136.36,141.43,145.5555556,155.11,137.5454545,138.8571429,151.1958763,143.9393939,145.5876289,138.64
Corn - Harvested,295.5876289,305.4895833,297.125,308.8924731,290.5876289,288.7676768,293.5,289.5,289.4285714,266.6
Corn - Mature,264.2323232,272.5154639,261.3402062,281.1616162,259.9393939,260.2020202,268.5714286,258.2857143,266.6428571,257.5
Corn - Planted,119.28,128.8080808,135.3571429,141.74,121.14,121.6161616,140.0714286,132.1428571,128.6875,124.99
Corn - Silking,199.2857143,203.3333333,197.9072165,208.7142857,199.2020202,197.979798,206.5252525,199.1616162,206.1894737,202.5463918
Soybeans - Blooming,194,198.83,195.5454545,204.53,191.9191919,190.61,200.5714286,192.9393939,197.8854167,196.7010309
Soybeans - Dropping,261.59,264.84,258.0505051,270.33,259.8686869,255.5353535,266.2020202,258.4141414,266.5,261.8076923
Soybeans - Emerged,147.77,151.51,151.7938144,163.09,146.7373737,144.97,159.2857143,149.9,154.8247423,145.36
Soybeans - Harvested,279.9292929,287.38,286.2626263,296.5050505,276.54,275.17,280.89,279.7676768,277.56,267.0454545
Soybeans - Planted,133.28,138.21,141.5959596,151.26,131.36,127.82,149.01,139.4141414,139.742268,130.94
Soybeans - Setting,211.54,213.3571429,207.8571429,217.69,207.8989899,207.97,216.8484848,208.4949495,217.4270833,213.3434343
Spring Wheat - Emerged,129.43,135.83,143.5050505,147.7373737,144.0927835,129.92,159.58,146.1313131,136.2142857,138.08
Spring Wheat - Harvested,225.75,233.1134021,226.04,241.8484848,233.5656566,217,242.7142857,234.81,237.66,231.04
Spring Wheat - Headed,174.2783505,177.83,178.58,183.46,181.48,170.66,194.65,180.98,182.22,184.77
Spring Wheat - Planted,117.1428571,123.79,131.8041237,135.2061856,133.0714286,118.65,150.6428571,137.5050505,124.2020202,127.65
