Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,232.4,229.49,224.78,242.89,231.93939393939394,235.55,233.42857142857142,231.85714285714286,229.4848484848485,231.85714285714286
Corn - Dough,213.25252525252526,213.25,207.63,222.1,214.66,212.11458333333334,212.20833333333334,210.07142857142858,206.14285714285714,209.1010101010101
Corn - Emerged,123.76,130.58,131.75,146.20833333333334,136.11702127659575,134.15463917525773,141.6701030927835,126.71428571428571,133.25252525252526,133.42857142857142
Corn - Harvested,275.87,281.85,273.08,291.07142857142856,285.53684210526313,278.70103092783506,282.0625,280.47474747474746,273.16129032258067,258.55
Corn - Mature,251.93,256.93,248.23,265.29,261.35714285714283,255.53535353535352,257.14285714285717,253.14285714285714,250.68,249.18279569892474
Corn - Planted,109.34,117.42424242424242,120.34,130.2173913043478,125.34736842105264,121.43478260869566,130.17708333333334,112.54545454545455,119.03092783505154,120.64285714285714
Corn - Silking,185.71,190.43,184.53,199.63,194.15,196.0,195.78571428571428,190.71428571428572,188.21428571428572,190.08080808080808
Soybeans - Blooming,199.25,200.2391304347826,192.4494382022472,212.9247311827957,200.48888888888888,203.46666666666667,204.23076923076923,195.86170212765958,198.1123595505618,196.9111111111111
Soybeans - Dropping,270.3258426966292,271.0,267.0352941176471,278.93548387096774,274.8478260869565,268.0681818181818,268.0531914893617,262.89473684210526,261.84615384615387,256.5735294117647
Soybeans - Emerged,153.4431818181818,154.38297872340425,146.86021505376345,169.66666666666666,157.68965517241378,152.88636363636363,157.24719101123594,140.25806451612902,148.6153846153846,147.70652173913044
Soybeans - Harvested,292.7826086956522,293.7692307692308,296.5176470588235,303.4895833333333,296.47727272727275,296.4111111111111,291.9347826086956,289.2307692307692,287.81111111111113,261.0
Soybeans - Planted,143.1195652173913,143.7826086956522,136.70212765957447,162.6,148.0561797752809,144.1086956521739,148.48387096774192,127.53763440860214,138.93617021276594,131.30337078651687
Soybeans - Setting,221.06451612903226,216.90217391304347,210.45882352941177,228.4777777777778,216.13636363636363,219.3068181818182,220.76923076923077,212.69148936170214,215.59782608695653,214.86021505376345
