Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,238.21428571428572,239.88888888888889,236.5,244.14285714285714,235.38144329896906,237.7835051546392,239.31,236.35714285714286,236.14285714285714,238.17391304347825
Corn - Dough,220.24742268041237,221.36363636363637,214.8659793814433,226.36363636363637,217.39,217.0,221.76041666666666,220.0,217.28125,218.4673913043478
Corn - Emerged,141.76767676767676,140.59,140.43,148.67,137.78571428571428,140.56565656565655,143.78571428571428,139.01030927835052,144.35,137.66
Corn - Harvested,294.4375,300.22680412371136,296.9574468085106,301.5,288.125,291.34736842105264,288.8989898989899,289.14285714285717,286.90425531914894,262.90909090909093
Corn - Mature,262.7916666666667,265.58762886597935,260.2736842105263,271.24,258.64285714285717,260.10526315789474,260.02061855670104,257.57142857142856,259.0,254.546875
Corn - Planted,128.40404040404042,126.4040404040404,128.5151515151515,133.9,124.57,125.20618556701031,130.67,126.23711340206185,130.71428571428572,125.45454545454545
Corn - Silking,197.57142857142858,198.69,193.44210526315788,205.1340206185567,199.85714285714286,198.8989898989899,202.56,197.85714285714286,197.34,200.26041666666666
Soybeans - Blooming,198.30927835051546,193.37,190.22916666666666,204.92857142857142,191.07,190.12,197.03,193.70526315789473,191.3030303030303,198.89361702127658
Soybeans - Dropping,261.3333333333333,259.47474747474746,255.8556701030928,267.18,254.7,256.69,257.23,253.99,259.14285714285717,258.2823529411765
Soybeans - Emerged,154.07070707070707,152.42,147.25252525252526,158.68,146.27,146.28571428571428,149.78,143.92857142857142,150.21428571428572,143.33
Soybeans - Harvested,286.0808080808081,289.34,288.80808080808083,291.26,277.45,282.59,281.31,281.95959595959596,281.73737373737373,266.72727272727275
Soybeans - Planted,142.6161616161616,139.27272727272728,136.23,145.73,131.22,131.74,135.64,131.64285714285714,137.63,130.1
Soybeans - Setting,216.64285714285714,213.7979797979798,209.43157894736842,219.0,209.62,208.04,213.06,212.08333333333334,209.52,214.3578947368421
