Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,220.92,220.46,222.19,224.97,226.35,223.16,225.8,225.57,222.61,217.95
Corn - Dough,206.43,205.13,206.010101010101,206.56,205.56,204.12,205.29,207.02,202.87,198.21
Corn - Emerged,124.35714285714286,123.16,126.5,128.86,125.34,121.73,122.27,123.86,123.35,123.45
Corn - Harvested,258.79,260.01,260.76,261.02,264.99,262.22,262.9,260.15,264.82,252.890243902439
Corn - Mature,240.59,240.76,240.25,243.87,240.56,238.07,240.22,238.45,240.04,233.68478260869566
Corn - Planted,111.64646464646465,112.47474747474747,114.16161616161617,118.5,114.0,113.4,112.33,114.27,113.55,115.89
Corn - Silking,180.5151515151515,179.16,180.2020202020202,190.39,182.74,182.84,187.16,185.02020202020202,182.15,178.89
Soybeans - Blooming,202.41666666666666,201.7,199.40963855421685,209.64583333333334,203.0909090909091,204.43010752688173,198.13541666666666,199.0842105263158,197.2,195.39361702127658
Soybeans - Dropping,264.8,269.40909090909093,264.575,268.6354166666667,269.5657894736842,265.2674418604651,263.05555555555554,260.98837209302326,264.24657534246575,255.6969696969697
Soybeans - Emerged,155.36363636363637,155.82558139534885,151.0897435897436,158.25263157894736,151.06410256410257,148.109756097561,146.90322580645162,147.96470588235294,146.88235294117646,145.79166666666666
Soybeans - Harvested,297.2741935483871,293.6666666666667,298.65625,298.68,298.37735849056605,299.72727272727275,290.6666666666667,296.3606557377049,291.2641509433962,262.75
Soybeans - Planted,146.55696202531647,145.5185185185185,142.67088607594937,148.10416666666666,142.6125,137.91666666666666,138.85106382978722,137.55696202531647,138.35227272727272,134.52272727272728
Soybeans - Setting,218.3846153846154,216.367816091954,213.6216216216216,222.5979381443299,215.25,217.4516129032258,213.07142857142858,212.88541666666666,214.80208333333334,209.46808510638297
