Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,244.1157894736842,250.1505376344086,239.08333333333334,260.6304347826087,247.60493827160494,244.05208333333334,250.10638297872342,245.94736842105263,254.8735632183908,247.80459770114942
Corn - Dough,228.0212765957447,229.89361702127658,221.4375,238.61855670103094,231.67368421052632,227.27659574468086,228.93478260869566,229.14583333333334,232.31506849315068,228.33333333333334
Corn - Emerged,143.68041237113403,145.14285714285714,150.5625,158.54,154.3918918918919,146.61111111111111,158.76470588235293,154.84615384615384,154.28125,148.32978723404256
Corn - Harvested,300.1720430107527,305.40425531914894,302.375,318.6511627906977,291.88659793814435,292.7473684210526,296.07142857142856,298.0967741935484,294.03333333333336,
Corn - Mature,264.8085106382979,273.63440860215053,260.0104166666667,287.05263157894734,267.92783505154637,263.6185567010309,269.9072164948454,267.28125,275.1578947368421,261.0
Corn - Planted,129.92857142857142,133.54545454545453,136.92631578947368,143.2828282828283,143.1264367816092,131.56989247311827,147.4,143.53846153846155,139.10752688172042,133.82105263157894
Corn - Silking,201.41935483870967,207.5531914893617,200.14736842105262,211.51063829787233,207.20652173913044,204.7093023255814,208.77894736842106,204.42708333333334,211.66666666666666,206.62105263157895
Soybeans - Blooming,192.8181818181818,199.76041666666666,192.78787878787878,204.44444444444446,201.31958762886597,199.01,201.16,197.6060606060606,205.23076923076923,195.35714285714286
Soybeans - Dropping,255.36,254.55,249.77,263.19,256.24,251.16,259.82,255.28571428571428,262.1515151515151,257.5421686746988
Soybeans - Emerged,150.95959595959596,153.83838383838383,155.4020618556701,162.53,162.37078651685394,152.6875,168.94845360824743,159.63636363636363,161.46315789473684,158.13684210526316
Soybeans - Harvested,279.010101010101,283.11,286.3085106382979,303.0869565217391,277.31,278.39,282.15,282.7628865979381,281.06,267.125
Soybeans - Planted,136.64,140.45,143.79,148.11,150.98947368421054,138.11,156.68041237113403,147.53191489361703,147.82474226804123,141.44
Soybeans - Setting,211.61,214.63917525773195,206.5050505050505,220.14285714285714,215.17525773195877,212.42857142857142,219.15,211.39175257731958,222.63829787234042,214.42857142857142
Spring Wheat - Emerged,135.21052631578948,139.64285714285714,145.64285714285714,147.95833333333334,149.9784946236559,139.77659574468086,159.35051546391753,151.14285714285714,146.60638297872342,144.45
Spring Wheat - Harvested,230.28571428571428,230.2659574468085,230.30927835051546,245.6421052631579,239.41052631578947,227.5,243.247311827957,240.86315789473684,240.04301075268816,238.2127659574468
Spring Wheat - Headed,177.28571428571428,181.51546391752578,181.09278350515464,188.21428571428572,185.659793814433,180.84536082474227,194.4842105263158,185.41237113402062,189.75257731958763,185.5
Spring Wheat - Planted,122.12765957446808,127.5,133.39175257731958,135.85714285714286,138.09473684210528,123.18556701030928,146.0721649484536,140.5257731958763,132.23711340206185,127.55319148936171
