Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,243.32291666666666,244.98947368421054,237.8913043478261,258.65555555555557,245.1123595505618,239.47368421052633,245.95698924731184,244.45454545454547,240.10416666666666,242.91666666666666
Corn - Dough,223.6153846153846,223.8421052631579,218.0326086956522,234.5568181818182,225.1157894736842,220.31182795698925,222.125,227.82105263157894,218.56842105263158,218.70526315789473
Corn - Emerged,147.22826086956522,143.32291666666666,143.41666666666666,165.2173913043478,148.8372093023256,144.54255319148936,149.10227272727272,147.38144329896906,145.57142857142858,148.77173913043478
Corn - Harvested,294.88421052631577,299.7241379310345,292.4651162790698,304.4516129032258,300.1645569620253,297.0833333333333,298.17391304347825,304.6162790697674,290.125,263.1
Corn - Mature,264.6304347826087,268.5652173913044,262.1630434782609,279.73333333333335,269.7906976744186,263.2736842105263,269.2307692307692,269.6162790697674,261.62886597938143,255.91935483870967
Corn - Planted,136.9375,128.84615384615384,132.95555555555555,154.2875,137.45744680851064,133.45652173913044,141.33333333333334,136.67368421052632,137.14736842105262,138.93258426966293
Corn - Silking,203.30769230769232,201.58947368421053,194.2659574468085,211.81927710843374,204.5531914893617,200.81720430107526,205.32323232323233,207.49484536082474,201.4,203.05154639175257
Soybeans - Blooming,199.5,200.4842105263158,192.1157894736842,212.77659574468086,196.62886597938143,195.0215053763441,200.44444444444446,205.08333333333334,198.81,200.16494845360825
Soybeans - Dropping,262.6060606060606,264.21649484536084,259.0210526315789,273.468085106383,262.5154639175258,260.69473684210527,265.2916666666667,265.4736842105263,257.29896907216494,255.12345679012347
Soybeans - Emerged,156.11458333333334,154.73,149.51063829787233,172.82954545454547,155.70526315789473,149.8,157.69148936170214,149.5252525252525,149.91752577319588,152.79166666666666
Soybeans - Harvested,288.55555555555554,285.14736842105265,288.43333333333334,292.8,287.8709677419355,288.55555555555554,288.7708333333333,289.7157894736842,283.57575757575756,264.0
Soybeans - Planted,147.2164948453608,143.32291666666666,140.83157894736843,164.23863636363637,143.5,139.09,147.96875,136.77319587628867,141.4020618556701,141.41666666666666
Soybeans - Setting,217.0,215.72164948453607,207.66315789473686,227.90322580645162,214.88659793814432,211.75,215.21428571428572,217.8,211.62,214.26262626262627
