Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,243.03125,248.1578947368421,236.78571428571428,256.5473684210526,242.43157894736842,242.21428571428572,245.41414141414143,242.33684210526314,247.83333333333334,241.67708333333334
Corn - Dough,221.78947368421052,226.76288659793815,216.92857142857142,234.36082474226805,221.1875,222.1237113402062,225.77083333333334,222.64948453608247,223.69791666666666,222.82474226804123
Corn - Emerged,144.98936170212767,143.25,147.78571428571428,165.4,146.35714285714286,142.625,151.76041666666666,146.13131313131314,150.07142857142858,140.74
Corn - Harvested,296.45360824742266,304.55670103092785,300.4111111111111,313.95180722891564,287.89473684210526,290.23655913978496,290.5959595959596,293.6041666666667,291.0,266.6
Corn - Mature,264.92857142857144,272.62105263157895,259.38709677419354,281.89473684210526,259.85714285714283,260.3125,265.6363636363636,263.8556701030928,268.6875,257.44262295081967
Corn - Planted,132.41666666666666,130.64646464646464,137.72164948453607,153.7578947368421,131.35714285714286,127.35714285714286,139.28865979381445,134.39175257731958,135.55670103092783,126.34020618556701
Corn - Silking,201.51063829787233,205.15625,197.52083333333334,213.22340425531914,202.42105263157896,203.22340425531914,207.17708333333334,201.36458333333334,209.21428571428572,204.16
Soybeans - Blooming,194.1958762886598,198.73737373737373,197.04123711340208,206.4375,194.97894736842105,198.40404040404042,203.85714285714286,199.57142857142858,205.6875,201.7578947368421
Soybeans - Dropping,256.3838383838384,260.01,253.4020618556701,271.26262626262627,254.0,252.07,260.1,257.7,263.64285714285717,257.87951807228916
Soybeans - Emerged,154.57142857142858,152.7,154.57142857142858,171.91919191919192,154.44444444444446,148.34343434343435,160.5,152.0,158.2164948453608,148.86
Soybeans - Harvested,281.7676767676768,287.87,290.51,298.61,278.01,280.0,281.24,282.62,281.76,266.8333333333333
Soybeans - Planted,143.28571428571428,141.08,145.6969696969697,162.5151515151515,141.51,134.68,146.84848484848484,139.8762886597938,144.84848484848484,134.16
Soybeans - Setting,210.28571428571428,214.42268041237114,211.18556701030928,225.2127659574468,210.54166666666666,214.73737373737373,218.17,214.85416666666666,221.28571428571428,221.1875
Spring Wheat - Emerged,124.46,121.97,138.26,146.39175257731958,136.13131313131314,126.56565656565657,137.18,137.86,134.31313131313132,126.32
Spring Wheat - Harvested,218.26,216.9090909090909,217.22,236.38,221.05050505050505,215.6,223.07,223.75,224.92,224.81
Spring Wheat - Headed,173.95,170.27,172.989898989899,185.67021276595744,175.25,169.92857142857142,182.41414141414143,172.86,176.93684210526317,172.66
Spring Wheat - Planted,109.45454545454545,108.18,127.31313131313131,134.39583333333334,122.89,110.74,120.8,127.08,116.63,110.08
