Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,225.47,227.46,226.25,229.66,234.07142857142858,228.55,230.35,226.21428571428572,228.14,225.58
Corn - Dough,208.81,208.42424242424244,205.53,208.38,211.79,208.04,208.16,205.17171717171718,207.0721649484536,205.63636363636363
Corn - Emerged,126.42424242424242,125.92857142857143,133.11111111111111,132.85,135.4375,129.78571428571428,136.78571428571428,130.7171717171717,135.91752577319588,133.46875
Corn - Harvested,262.15,266.1,267.55,265.99,275.989898989899,275.87,271.44,272.7676767676768,265.26262626262627,254.1014492753623
Corn - Mature,245.77,246.36,247.3030303030303,249.26,254.28,252.35,251.14,247.85714285714286,244.94,241.65591397849462
Corn - Planted,113.34343434343434,116.28571428571429,120.92857142857143,121.65,123.47916666666667,118.0,124.29292929292929,116.57142857142857,121.32291666666667,121.14736842105263
Corn - Silking,185.42857142857142,182.59,181.28571428571428,190.39,191.07142857142858,188.42268041237114,187.57575757575756,186.15151515151516,184.57142857142858,185.26
Soybeans - Blooming,197.63829787234042,194.67021276595744,192.247311827957,201.65263157894736,200.9673913043478,199.90526315789472,196.9157894736842,191.17021276595744,190.86315789473684,192.8876404494382
Soybeans - Dropping,261.2842105263158,265.1546391752577,261.75555555555553,265.57142857142856,266.34831460674155,264.55172413793105,262.51612903225805,260.6521739130435,254.6153846153846,249.61333333333334
Soybeans - Emerged,153.10256410256412,155.7816091954023,150.65432098765433,158.08247422680412,156.17073170731706,149.02409638554218,151.92307692307693,145.33734939759037,148.58620689655172,148.02325581395348
Soybeans - Harvested,285.0842105263158,290.9879518072289,288.5542168674699,289.18947368421055,291.45,295.3176470588235,287.28735632183907,284.5977011494253,277.39325842696627,259.09090909090907
Soybeans - Planted,141.56470588235294,144.67441860465115,141.10344827586206,147.2577319587629,145.6627906976744,138.9418604651163,142.31182795698925,130.14634146341464,135.05555555555554,132.33333333333334
Soybeans - Setting,211.17894736842106,210.38297872340425,208.32631578947368,217.28571428571428,214.92307692307693,213.16842105263157,214.71428571428572,207.4673913043478,208.29896907216494,210.36170212765958
