Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn - Dented,241.90526315789472,250.95454545454547,242.69230769230768,257.25,244.23076923076923,242.8125,248.8404255319149,246.45977011494253,246.53846153846155,246.09677419354838
Corn - Dough,225.53846153846155,229.40697674418604,224.09302325581396,236.33333333333334,224.88297872340425,222.76923076923077,228.7826086956522,227.8586956521739,226.05555555555554,225.6818181818182
Corn - Emerged,144.15625,149.39361702127658,147.57291666666666,160.79787234042553,146.21505376344086,142.47916666666666,148.66304347826087,147.53191489361703,147.53932584269663,146.52083333333334
Corn - Harvested,300.1630434782609,308.1604938271605,299.5113636363636,316.1081081081081,298.6551724137931,295.75,301.90909090909093,303.61176470588236,293.6741573033708,266.25
Corn - Mature,262.9375,274.2439024390244,263.0752688172043,283.7590361445783,264.3541666666667,265.6354166666667,269.5208333333333,266.19767441860466,270.29787234042556,259.42857142857144
Corn - Planted,129.29,135.76923076923077,136.4494382022472,146.16129032258064,129.09375,128.50526315789475,139.74468085106383,136.84536082474227,133.6206896551724,132.95833333333334
Corn - Silking,203.21875,208.3846153846154,200.64367816091954,213.33333333333334,204.5483870967742,202.2391304347826,210.3404255319149,208.30769230769232,206.6888888888889,206.25263157894736
Soybeans - Blooming,194.23232323232324,201.36458333333334,196.61290322580646,210.8695652173913,193.47916666666666,194.02020202020202,199.95833333333334,200.9255319148936,202.06315789473683,196.34408602150538
Soybeans - Dropping,263.030303030303,268.8854166666667,262.70526315789476,274.494623655914,263.42857142857144,261.85714285714283,268.10309278350513,266.65263157894736,263.0,261.0
Soybeans - Emerged,152.0909090909091,159.28571428571428,153.8736842105263,168.17021276595744,152.53608247422682,147.4949494949495,154.57142857142858,151.49484536082474,151.21875,150.55555555555554
Soybeans - Harvested,291.25773195876286,289.02127659574467,295.6170212765957,300.33720930232556,287.07142857142856,286.7878787878788,287.9484536082474,288.14606741573033,278.6969696969697,266.8333333333333
Soybeans - Planted,139.85858585858585,147.55208333333334,144.14583333333334,156.63541666666666,136.83838383838383,134.05,143.07142857142858,139.78571428571428,138.44329896907217,135.07070707070707
Soybeans - Setting,209.65,214.85263157894738,211.24468085106383,223.73863636363637,210.17708333333334,209.63917525773195,216.93814432989691,219.34736842105264,218.0,214.47916666666666
