,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,12.123711340206185,14.04857142857145,11.199999999999989,9.479633867276874,15.541666666666657,13.41879699248122,8.047864506627405,15.041666666666686,10.088373655913983,8.886163863266404
Corn_Emerged_to_Silking,60.49515463917527,59.56999999999999,50.96000000000001,47.75043859649122,57.38833333333335,58.25846833578791,54.007195017182084,57.64285714285717,52.40625,55.76852737905372
Corn_Silking_to_Dough,24.65948453608246,22.75,24.430000000000007,21.5081615120275,20.22999999999999,22.649269759450135,19.702083333333377,23.928571428571388,21.948453608247434,20.323953823953786
Corn_Dough_to_Dented,18.70765832106042,19.71979381443299,18.47999999999999,21.8043384879725,19.48285714285717,19.92804982817873,22.56470588235291,19.37702503681888,21.10205144225762,20.0
Corn_Dented_to_Mature,21.38285714285712,26.690206185567035,23.52000000000001,25.28442982456147,24.27633477633475,20.307069219440365,28.196584440227753,18.19440353460979,19.585858585858574,19.422689075630274
Corn_Mature_to_Harvested,23.730000000000018,25.00714285714281,26.110000000000014,26.55932017543853,25.383838383838395,26.775297619047592,22.457266378450242,30.69552669552661,28.373945641986893,7.172549019607857
Soybeans_Planted_to_Emerged,9.87788120567376,11.31041237113405,8.812061855670095,7.13316790736144,14.883268900343666,13.052083333333343,8.621160054149755,14.59160223367698,13.467324561403501,12.36513157894737
Soybeans_Emerged_to_Blooming,44.15643896976485,43.81999999999999,45.64793814432991,42.62348178137657,49.19920532646046,54.4077380952381,51.64731416169292,54.46874999999997,43.18892543859647,49.69813829787236
Soybeans_Blooming_to_Setting,17.09701573521434,15.330000000000013,14.560000000000002,14.447651386530794,13.350515463917532,16.540178571428555,15.028340080971645,13.437968164794057,15.733630952380963,17.040908093880205
Soybeans_Setting_to_Dropping,53.4742268041237,53.86285714285722,55.6295833333333,51.653225806451644,54.63178173487452,49.389945652173935,48.78525641025638,51.12200658268071,48.3648233486943,42.925981698135075
Soybeans_Dropping_to_Harvested,21.604020618556717,19.007142857142753,26.13041666666669,20.813333333333333,17.111111111111143,26.89393592677345,23.64880952380952,26.080703946683343,26.261833499612067,11.022471910112358
