,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,9.945171849427169,14.578595317725771,10.26190476190476,9.489660876757654,12.984098544232893,11.75509751773049,8.965743127147789,11.618556701030911,10.139817629179333,10.375085792724775
Corn_Emerged_to_Silking,54.44777327935222,58.74217391304347,51.42955326460478,47.52676090370909,55.520947576222824,56.87499999999997,53.89867424242425,57.18534766396141,52.21428571428572,56.997562056737564
Corn_Silking_to_Dough,22.9671451355662,20.52458333333331,25.570446735395194,22.57386162034294,21.649484536082497,20.854166666666686,20.558263042799098,22.77792553191489,21.790178571428555,20.580153508771957
Corn_Dough_to_Dented,16.75757575757578,18.666666666666686,19.166666666666686,20.63157894736844,20.57097541633624,21.275880584192436,22.74097938144331,22.594758064516128,20.361250000000013,21.663157894736827
Corn_Dented_to_Mature,22.22243049047171,24.93980263157897,20.360000000000014,21.753553988062976,21.68502024291496,21.00000000000003,22.630263157894717,20.946002805049062,19.44020202020201,13.392105263157902
Corn_Mature_to_Harvested,28.793814432989677,30.26281833616298,29.68736842105261,25.43964776632299,28.26700622524055,29.792228390166542,24.90526315789475,30.737528604119007,25.884053298946924,4.8125
Soybeans_Planted_to_Emerged,9.716337719298224,13.23550257731958,10.869661266568471,8.186104218362289,12.440353460972005,11.689999999999998,9.029292929292922,13.051650525877335,8.891774891774872,12.481497558328812
Soybeans_Emerged_to_Blooming,41.79540873460252,42.32699742268042,44.752143244709714,43.74937965260543,46.76288659793815,50.890000000000015,47.10195707070707,54.38802922845474,47.94345238095235,51.32902875746066
Soybeans_Blooming_to_Setting,16.188747532353545,15.3125,13.41052631578944,15.173697270471479,16.11405317417251,14.998762886597916,17.170770202020208,15.19310823311747,14.750214776632333,14.135855263157907
Soybeans_Setting_to_Dropping,49.330756013745685,49.111607142857224,51.961041779707074,44.44391025641025,48.318421052631635,45.463917525773184,46.04797979797979,48.04891304347828,46.062285223367724,40.90625
Soybeans_Dropping_to_Harvested,25.8125,23.389751552794962,30.270537167661388,20.125,24.11391752577316,31.481574906777837,23.697916666666686,24.48138297872339,25.302083333333314,9.625
