,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,15.503939393939405,14.071428571428584,10.959595959595987,17.150000000000006,16.050505050505038,16.616161616161634,10.311688311688329,14.49848484848485,14.12444771723122,14.707070707070727
Corn_Emerged_to_Silking,60.32034632034629,60.214285714285694,52.53535353535352,54.1595833333333,61.51659451659455,60.876578282828234,57.57584683357882,58.82828282828282,56.804123711340196,60.102453102453126
Corn_Silking_to_Dough,21.51251840942564,22.071428571428612,23.726315789473688,22.23206615120276,19.486008836524263,17.729274054982852,17.424153166421206,17.81818181818184,17.552083333333314,17.176730486008836
Corn_Dough_to_Dented,18.844624447717223,20.570692194403506,17.91285946825826,21.360824742267994,18.87113402061857,20.422680412371164,20.536796536796516,19.647907647907658,23.7881228522337,22.082474226804095
Corn_Dented_to_Mature,24.454344624447742,23.71502209131083,23.38144329896909,28.00000000000003,22.52020202020202,24.68041237113397,23.17748917748915,21.571428571428555,22.447672602311798,17.29793814432989
Corn_Mature_to_Harvested,33.90279823269515,35.419642857142776,40.70854810996565,31.338578404774864,28.536499010725834,30.696690179055906,28.634756995581768,33.3059163059163,24.970015948963294,8.166666666666686
Soybeans_Planted_to_Emerged,13.055353535353532,12.869408369408376,10.74747474747474,12.51443001442999,17.999278499278503,17.125959595959586,12.380808080808094,14.419999999999987,14.337498698323458,15.692020202020203
Soybeans_Emerged_to_Blooming,44.74299698011043,45.031664212076606,42.74021464646461,41.42857142857147,47.164212076583226,46.171717171717205,46.02228470269711,48.21373737373736,45.41881443298968,49.47506313131311
Soybeans_Blooming_to_Setting,14.864506627393212,14.938144329896886,14.510416666666686,17.194940476190425,15.698883161511986,15.838383838383805,15.492866812454423,17.323232323232332,18.302835051546396,16.89434523809524
Soybeans_Setting_to_Dropping,53.88839285714283,53.31590574374076,54.27555841924402,51.13863831615123,51.64267676767679,54.67965367965368,52.35195707070707,50.87445887445887,50.50073637702505,49.06712564543892
Soybeans_Dropping_to_Harvested,22.752255154639215,25.142857142857167,33.38217967599411,22.45213549337268,17.74747474747477,22.14428571428573,16.870265151515127,21.246753246753258,14.97546897546897,7.302622253720756
