,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,14.738187285223361,14.094152046783648,11.384567322711646,14.141414141414145,12.951709169831787,14.248108713925461,14.703293010752702,13.461538461538467,12.604059278350519,14.641209406494966
Corn_Emerged_to_Silking,57.93191580756013,55.025986842105226,52.089015151515156,54.06393835259814,55.189473684210526,57.82133033258316,56.182566918325335,56.33797054009821,55.40969072164947,56.58947368421056
Corn_Silking_to_Dough,25.72987497258171,23.798646907216494,22.22039473684211,20.12076583210603,18.673250135648402,19.902659875495175,20.883986562150028,20.73974555823645,19.110000000000014,19.849158979924
Corn_Dough_to_Dented,17.662613981762945,17.527245949926396,18.127819548872168,16.85714285714289,20.14604810996559,21.174715138361364,17.02182017543859,18.50192648130792,21.409393939393965,21.145051546391755
Corn_Dented_to_Mature,21.95142857142855,19.0375939849624,21.922619047619037,24.417142857142835,23.047619047619094,20.67270644590232,18.45675505050508,17.093434343434353,17.323232323232304,15.71298850574712
Corn_Mature_to_Harvested,21.139999999999986,27.033834586466156,26.50443262411352,24.569999999999993,23.342415316642132,19.81182963657193,20.224409038841998,24.079999999999984,21.551806727064445,9.252873563218401
Soybeans_Planted_to_Emerged,8.545880149812717,9.411111111111097,8.896890343698857,9.258064516129025,9.52348613469158,11.541860465116287,10.941304347826105,11.357219251336886,11.529710144927549,15.367816091954012
Soybeans_Emerged_to_Blooming,40.446969696969745,42.14736842105265,43.67757774140753,45.475978037062475,43.93440860215054,45.36583184257603,48.50769230769231,51.80525657071337,48.53333333333333,47.87356321839084
Soybeans_Blooming_to_Setting,18.758585858585832,18.305823068309053,16.777910590485305,14.362731640356913,15.826436781609175,18.69230769230768,18.230769230769226,16.30689176688253,18.922580645161275,20.45427286356818
Soybeans_Setting_to_Dropping,49.730050505050514,45.728058510638306,53.418959059795924,47.49697580645159,49.789352692075,47.75555555555559,41.13931623931626,43.93778908418136,42.150537634408636,38.62013729977119
Soybeans_Dropping_to_Harvested,24.339216634429363,27.84640957446811,37.856321839080465,26.076353092783506,25.568421052631606,28.635748792270476,24.881362007168434,25.681776133210008,24.297715053763397,9.284210526315803
