,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,12.377964426877469,11.744188596491242,11.474290780141843,10.335252525252514,12.657706093189972,14.602220166512481,11.225155279503127,12.989690721649453,12.883512544802883,11.871041879468862
Corn_Emerged_to_Silking,58.08101173020529,52.14002192982454,45.79166666666666,54.569484316852765,59.51637426900584,58.185998627316394,52.56993851559068,58.91118160190328,51.74495967741936,50.882454624027645
Corn_Silking_to_Dough,28.67741935483869,30.255811403508744,27.92473118279571,26.743646996278557,23.424524076147833,26.182795698924707,24.792876129718223,25.37975708502026,26.588486842105226,23.204013377926458
Corn_Dough_to_Dented,13.110887096774206,13.373511904761926,14.366935483870918,13.841616161616173,13.85968645016797,16.102564102564173,14.554887218045138,14.147368421052619,13.676980329611979,18.353096179183126
Corn_Dented_to_Mature,19.033459595959613,18.716450216450255,17.10008591065298,16.72999999999999,17.99234449760766,18.30147630147627,20.021428571428544,19.74736842105267,17.248282828282782,11.95656565656563
Corn_Mature_to_Harvested,19.2040404040404,24.347537878787875,24.316580756013707,19.390000000000015,23.786602870813397,25.42402977139821,21.661111111111097,26.626049973418333,21.390526315789458,11.236687631027252
Soybeans_Planted_to_Emerged,10.173026315789485,11.709578544061316,8.381735677821894,10.80358422939068,11.274248440158857,12.408466498458097,11.16690307328605,14.23118355776046,13.166666666666657,14.31472230384955
Soybeans_Emerged_to_Blooming,44.24009096816113,43.41111111111107,45.99035734543389,45.47350427350429,49.60365853658536,50.014905149051486,47.133333333333354,55.07228915662651,48.64015151515153,48.17504500761666
Soybeans_Blooming_to_Setting,16.160493827160508,13.75193798449618,12.097506304286952,14.84615384615384,12.352409638554207,12.550505050505052,16.396057347670222,15.4433187294633,15.487918660287079,13.898141354854488
Soybeans_Setting_to_Dropping,48.4722222222222,52.11753992715046,52.37765878328128,46.74772539288671,51.48092369477911,52.88977272727274,49.239745121465546,50.356459330143565,46.12192982456142,39.5059723777529
Soybeans_Dropping_to_Harvested,21.50268817204301,24.06641952425082,25.639660493827137,21.115255376344066,24.97995780590719,27.39171686746988,21.448176859029616,22.913742690058427,24.005020080321287,9.478070175438603
