,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,11.885583524027453,13.361702127659584,11.862787356321832,14.66558704453442,13.257928388746791,13.93315246880087,9.326349628644266,10.574414715719058,11.144546934346153,12.972401202749126
Corn_Emerged_to_Silking,54.57190635451505,55.09983633387887,52.87100893997447,49.06185834957762,56.63715170278641,58.309278350515484,56.77602150537635,58.86476238624877,53.97938144329899,57.46058848797253
Corn_Silking_to_Dough,21.525791855203636,22.37179487179486,23.620370370370324,22.44231587909752,20.191876430205923,22.217591577100222,17.536804123711335,21.485628429579265,23.812913727617996,17.302516350737164
Corn_Dough_to_Dented,20.647712418300642,19.49250936329588,17.727011494252935,21.160919540229912,18.61622073578596,20.90461391345923,21.377362542955296,16.873155543522415,17.242105263157924,22.475776247432606
Corn_Dented_to_Mature,21.17740324594257,23.674157303370805,22.367816091953983,24.736047638831167,23.30769230769232,20.03841971728886,24.51411290322585,25.61576033865188,22.311578947368417,15.709035580524358
Corn_Mature_to_Harvested,35.05780425071072,28.916666666666686,33.15923745444354,30.173396287854132,31.29411764705884,31.00189753320683,29.393348337084262,33.10331850838179,25.135384615384623,7.729166666666686
Soybeans_Planted_to_Emerged,9.377083333333331,10.380540780141843,8.087824897400822,10.610526315789514,13.35340206185569,14.0,10.52050505050505,12.5253456221198,9.889880952380935,13.456553755522833
Soybeans_Emerged_to_Blooming,44.91431451612905,41.43404255319149,43.80261437908496,41.26315789473685,48.94659793814432,50.68000000000001,42.95949494949494,49.903225806451616,46.241194158075615,46.83505154639178
Soybeans_Blooming_to_Setting,16.113865308432366,14.863829787234096,16.72136752136751,15.38157894736841,11.47999999999999,11.199999999999989,14.490000000000009,16.873684210526307,16.624639175257727,16.362680412371105
Soybeans_Setting_to_Dropping,48.62452407614779,48.98771660451851,47.49296939619521,42.46052631578948,46.116565656565655,48.29999999999998,47.5,46.0493927125506,44.79999999999998,41.10878048780489
Soybeans_Dropping_to_Harvested,29.56556160316677,22.486915146708952,33.12673674036495,27.189473684210498,29.41635101010104,35.23896551724141,29.389473684210543,30.101019462465274,22.35886597938145,11.45121951219511
