,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,17.080000000000013,12.621919200000008,10.198412699999977,13.370000000000005,16.405454500000005,17.240981300000016,11.124447700000019,11.796536800000013,16.9001289,13.649999999999991
Corn_Emerged_to_Silking,62.92571429999998,61.903333299999986,52.35166090000001,53.60428569999999,61.65656569999999,59.122655099999974,55.329376199999984,55.2222223,60.60184480000001,63.90639180000002
Corn_Silking_to_Dough,21.07142860000002,20.927083400000015,21.721649499999984,21.42857139999998,20.434343400000017,23.0614391,20.948974300000003,17.3232323,18.5739672,21.517438
Corn_Dough_to_Dented,19.571428499999996,21.291666599999985,19.38155070000002,24.928571500000004,20.36363639999999,19.84536080000001,20.240058900000008,21.607934999999998,24.913978499999985,20.57827549999999
Corn_Dented_to_Mature,24.303751799999986,26.963380599999994,22.329789500000004,26.090187600000036,19.939393900000027,19.315422299999994,20.857142899999985,20.1929308,16.965437700000024,12.857894700000003
Corn_Mature_to_Harvested,31.35530570000003,32.974119400000006,35.78479379999999,27.730856899999992,30.648235,28.56565660000001,24.92857140000001,31.214285700000005,22.785714299999995,9.100000000000023
Soybeans_Planted_to_Emerged,14.490000000000009,13.299999999999983,10.197854800000016,11.830000000000013,15.377373699999993,17.150000000000006,10.275714300000004,10.4858586,15.082474300000001,14.420000000000016
Soybeans_Emerged_to_Blooming,46.22999999999999,47.32000000000002,43.7516401,41.44,45.18181819999998,45.640000000000015,41.285714299999995,43.03939389999999,43.06067440000001,51.34103089999999
Soybeans_Blooming_to_Setting,17.539999999999992,14.527142900000001,12.311688400000008,13.159999999999997,15.979798000000017,17.359999999999985,16.277056200000004,15.555555599999991,19.541666599999985,16.642403400000006
Soybeans_Setting_to_Dropping,50.04999999999998,51.48285709999996,50.193362199999996,52.639999999999986,51.969697,47.565353500000015,49.3535354,49.919191900000015,49.07291670000001,48.46425799999997
Soybeans_Dropping_to_Harvested,18.339292900000032,22.54000000000002,28.212121200000013,26.175050499999998,16.67131310000002,19.634646500000002,14.687979799999994,21.3535354,11.060000000000002,5.23776220000002
Spring Wheat_Planted_to_Emerged,12.287142900000006,12.040000000000006,11.700926800000019,12.531188100000008,11.021354900000006,11.269999999999982,8.937142900000026,8.62626259999999,12.012265499999998,10.430000000000007
Spring Wheat_Emerged_to_Headed,44.84835049999998,42.0,35.0749495,35.7226263,37.387216499999994,40.74000000000001,35.06999999999999,34.84868689999999,46.005714299999994,46.69
Spring Wheat_Headed_to_Harvested,51.47164950000001,55.28340209999999,47.45999999999998,58.388484799999986,52.08565660000002,46.34,48.0642857,53.83000000000001,55.44,46.26999999999998
