,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,14.420000000000002,13.15575757575759,11.409999999999997,15.990942028985529,10.769652855543114,12.719856566562072,11.493019759450164,14.168831168831161,14.221597417473717,12.785714285714278
Corn_Emerged_to_Silking,61.95,59.849999999999994,52.78,53.42166666666665,58.032978723404256,61.84536082474227,54.11561119293077,63.99999999999997,54.961760461760434,56.65223665223667
Corn_Silking_to_Dough,27.54252525252528,22.819999999999993,23.099999999999994,22.47,20.50999999999999,16.114583333333314,16.422619047619037,19.35714285714286,17.928571428571473,19.02020202020202
Corn_Dough_to_Dented,19.147474747474718,16.24000000000001,17.150000000000006,20.789999999999992,17.27939393939397,23.435416666666697,21.22023809523813,21.785714285714334,23.34199134199133,22.756132756132786
Corn_Dented_to_Mature,19.53,27.439999999999998,23.44999999999999,22.400000000000034,29.417748917748867,19.98535353535351,23.71428571428578,21.285714285714278,21.195151515151508,17.325652841781874
Corn_Mature_to_Harvested,23.939999999999998,24.920000000000016,24.849999999999994,25.781428571428535,24.1796992481203,23.16567739248154,24.919642857142776,27.331890331890293,22.481290322580662,9.367204301075247
Soybeans_Planted_to_Emerged,10.323616600790501,10.600370027752064,10.158087394188954,7.066666666666663,9.633475397132884,8.77766798418972,8.76332004349402,12.72043010752688,9.679214402618669,16.403150952613544
Soybeans_Emerged_to_Blooming,45.80681818181819,45.856151711378345,45.58922314848377,43.25806451612905,42.7992337164751,50.58030303030304,46.983578219533285,55.60363761153059,49.49697493517718,49.20458937198066
Soybeans_Blooming_to_Setting,21.814516129032228,16.663043478260875,18.00938532716458,15.553046594982078,15.647474747474746,15.840151515151518,16.538461538461576,16.8297872340425,17.48546653639474,17.94910394265233
Soybeans_Setting_to_Dropping,49.26132656759697,54.09782608695653,56.57647058823531,50.457706093189955,58.711462450592876,48.761363636363626,47.28396072013092,50.20324748040315,46.24832775919734,41.71331435800127
Soybeans_Dropping_to_Harvested,22.45676599902299,22.769230769230774,29.48235294117643,24.55409946236557,21.629446640316246,28.342929292929284,23.881591119333905,26.336032388663966,25.96495726495732,4.426470588235304
