,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,13.363636363636346,14.185959595959602,11.914848484848505,14.769999999999982,13.215714285714284,15.35947099864623,13.11571428571429,12.773195876288682,13.635714285714272,12.205454545454558
Corn_Emerged_to_Silking,55.803751803751794,58.099999999999994,53.01210526315788,56.4640206185567,62.07142857142861,58.33333333333334,58.774285714285725,58.84683357879237,52.99000000000001,62.60041666666663
Corn_Silking_to_Dough,22.675994108983843,22.673636363636405,21.423874118285426,21.229615745079712,17.532857142857097,18.101010101010104,19.200416666666626,22.14285714285711,19.941249999999997,18.206974637681185
Corn_Dough_to_Dented,17.966863033873295,18.525252525252483,21.63402061855669,17.779220779220765,17.991443298969045,20.783505154639187,17.549583333333374,16.35714285714289,18.861607142857167,19.706521739130437
Corn_Dented_to_Mature,24.57738095238099,25.698739977090412,23.773684210526312,27.097142857142842,23.261413843888192,22.321758003255553,20.710618556701036,21.214285714285666,22.857142857142833,16.37296195652175
Corn_Mature_to_Harvested,31.645833333333314,34.63917525773206,36.6837625979843,30.25999999999999,29.482142857142776,31.242105263157896,28.878371342288858,31.57142857142867,27.904255319148945,8.362215909090935
Soybeans_Planted_to_Emerged,11.454545454545467,13.147272727272707,11.02252525252527,12.950000000000017,15.050000000000011,14.545714285714268,14.140000000000015,12.285714285714278,12.584285714285727,13.230000000000018
Soybeans_Emerged_to_Blooming,44.238571279808355,40.95000000000002,42.97664141414137,46.24857142857144,44.79999999999998,43.83428571428573,47.25,49.776691729323346,41.08874458874459,55.56361702127654
Soybeans_Blooming_to_Setting,18.33357879234174,20.427979797979788,19.202412280701765,14.071428571428555,18.55000000000001,17.919999999999987,16.03,18.378070175438552,18.2169696969697,15.464277715565544
Soybeans_Setting_to_Dropping,44.69047619047615,45.67676767676767,46.4240911557244,48.18000000000001,45.079999999999984,48.650000000000006,44.170000000000016,41.906666666666695,49.622857142857214,43.9244582043344
Soybeans_Dropping_to_Harvested,24.74747474747477,29.865252525252515,32.95241070498804,24.079999999999984,22.75,25.899999999999977,24.079999999999984,27.969595959596006,22.594516594516506,8.44491978609625
