,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,12.710678210678225,10.685252525252523,12.338383838383834,10.360000000000014,11.340000000000003,8.329999999999998,9.939999999999998,9.590000000000003,9.799999999999997,7.560000000000002
Corn_Emerged_to_Silking,56.15800865800864,56.0,53.70202020202021,61.52999999999997,57.400000000000006,61.11,64.89,61.16020202020199,58.80000000000001,55.43999999999998
Corn_Silking_to_Dough,25.914848484848505,25.97,25.808080808080803,16.170000000000016,22.819999999999993,21.28,18.129999999999995,21.999797979798018,20.72,19.32000000000002
Corn_Dough_to_Dented,14.48999999999998,15.330000000000013,16.179898989898987,18.409999999999997,20.789999999999992,19.039999999999992,20.51000000000002,18.549999999999983,19.74000000000001,19.73999999999998
Corn_Dented_to_Mature,19.670000000000016,20.299999999999983,18.060000000000002,18.900000000000006,14.210000000000008,14.909999999999997,14.419999999999987,12.879999999999995,17.42999999999998,15.734782608695696
Corn_Mature_to_Harvested,18.200000000000017,19.25,20.50999999999999,17.149999999999977,24.430000000000007,24.150000000000034,22.67999999999998,21.69999999999999,24.78,19.205461293743326
Soybeans_Planted_to_Emerged,8.80667433831988,10.307062876830344,8.418857513794222,10.148464912280701,8.451602564102558,10.193089430894332,8.052161976664394,10.40774385703645,8.530080213903744,11.268939393939377
Soybeans_Emerged_to_Blooming,47.053030303030255,45.87441860465114,48.319894964473235,51.393201754385956,52.026806526806524,56.32035142932074,51.23219086021501,51.11950464396284,50.317647058823525,49.6019503546099
Soybeans_Blooming_to_Setting,15.967948717948758,14.667816091954023,14.211983067404788,12.952104810996588,12.159090909090907,13.021505376344066,14.936011904761926,13.801206140350843,17.602083333333326,14.074468085106417
Soybeans_Setting_to_Dropping,46.415384615384625,53.04127481713692,50.953378378378375,46.037478522336784,54.31578947368422,47.81582895723932,49.98412698412699,48.10295542635663,49.44449200913243,46.228884590586716
Soybeans_Dropping_to_Harvested,32.47419354838706,24.25757575757575,34.08125000000001,30.04458333333332,28.811569016881833,34.459830866807636,27.611111111111143,35.37228364468166,27.017575600930456,7.053030303030312
