,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,13.751840942562637,11.597402597402606,13.636184210526324,15.257171717171701,11.265455110282716,15.041218637992841,11.364705882352922,11.307692307692292,15.173723118279582,14.508734602463619
Corn_Emerged_to_Silking,57.73894246757564,62.410334346504555,49.58486842105265,52.97063829787237,52.814629847238535,58.09819121447029,50.0142414860681,49.580929487179475,57.38541666666663,58.291265397536364
Corn_Silking_to_Dough,26.601921757035,22.34042553191486,21.290131578947353,27.10791840315855,24.46716247139588,22.567293419099485,20.155835240274655,24.71875,20.648401826484047,21.712280701754395
Corn_Dough_to_Dented,16.094512877939508,20.256920613132053,17.645833333333314,22.011878081577777,15.93125406107859,16.775487588652425,21.17160037002776,16.801535087719316,22.558494725240138,19.471264367816133
Corn_Dented_to_Mature,20.692721164613687,23.48387096774192,20.92708333333337,26.422196796338653,20.322896779941516,19.566473367697597,19.80083351612194,21.33388157894737,20.284331518451268,13.195402298850553
Corn_Mature_to_Harvested,35.36353237245481,31.769846716998416,42.364583333333314,31.598531211750355,23.958762886597924,29.1288117200217,26.16421207658317,30.815524193548413,18.87543859649128,
Soybeans_Planted_to_Emerged,14.319595959595972,13.388383838383845,11.612061855670106,14.419999999999987,11.381312832643403,14.577499999999986,12.26804123711338,12.104448742746598,13.638415626695604,16.69684210526316
Soybeans_Emerged_to_Blooming,41.858585858585855,45.922032828282795,37.38581693220871,41.914444444444484,38.94880111201206,46.32249999999999,32.21154639175256,37.96969696969697,43.76761133603239,37.22030075187973
Soybeans_Blooming_to_Setting,18.7918181818182,14.87875859106532,13.71717171717168,15.698412698412682,13.855670103092791,13.418571428571454,17.99000000000001,13.785691971259013,17.40752864157116,19.071428571428555
Soybeans_Setting_to_Dropping,43.75,39.91082474226806,43.26494949494952,43.04714285714283,41.064742268041215,38.73142857142855,40.66999999999999,43.89396170839467,39.51321727917474,43.11359724612737
Soybeans_Dropping_to_Harvested,23.65010101010097,28.560000000000002,36.53851063829788,39.89695652173913,21.069999999999993,27.22999999999999,22.329999999999984,27.477172312223843,18.908484848484875,9.582831325301186
Spring Wheat_Planted_to_Emerged,13.082866741321396,12.142857142857139,12.25110456553756,12.101190476190482,11.883757781550628,16.591028734371577,13.278350515463927,10.617083946980841,14.369269576661566,16.896808510638266
Spring Wheat_Emerged_to_Headed,42.0751879699248,41.87260677466861,35.449926362297504,40.25595238095235,35.68129919077708,41.06876508006141,35.13369506239826,34.26951399116351,43.14619434086421,41.05000000000001
Spring Wheat_Headed_to_Harvested,53.0,48.75049352928275,49.216494845360785,57.42781954887221,53.75073250135648,46.65463917525773,48.7631013016412,55.4507867607162,50.29043343310053,52.712765957446805
