,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,12.57269503546101,12.603535353535364,10.064064801178205,11.642105263157902,15.0,15.267857142857139,12.471756872852211,11.739560553993556,14.514727540500758,14.39979381443301
Corn_Emerged_to_Silking,56.521276595744695,61.90625,49.73511904761904,47.82340425531916,56.0639097744361,60.59840425531917,55.41666666666666,55.23327020202018,59.14285714285711,63.41999999999999
Corn_Silking_to_Dough,20.27883538633813,21.60663659793812,19.40773809523813,21.137420486948884,18.76644736842104,18.900307084887032,18.59375,21.284901202749154,14.483630952380935,18.664742268041238
Corn_Dough_to_Dented,21.241776315789508,21.39500813890399,19.857142857142833,22.186543678784574,21.244078947368394,20.090574374079495,19.64330808080811,19.687357569180705,24.135416666666686,18.85234106529208
Corn_Dented_to_Mature,21.897321428571445,24.463157894736838,22.60138248847926,25.347368421052636,17.42556390977444,18.098214285714306,20.2222222222222,21.518827997829618,20.854166666666686,15.765539617486354
Corn_Mature_to_Harvested,31.52503681885122,31.935648399348906,41.02401433691756,32.05707038681038,28.037593984962427,29.92405913978496,24.95959595959596,29.748496563573894,22.3125,9.157377049180354
Soybeans_Planted_to_Emerged,11.285714285714306,11.619999999999976,8.874458874458895,9.404040404040416,12.934444444444466,13.663434343434346,13.651515151515156,12.1237113402062,13.36800999687597,14.700000000000017
Soybeans_Emerged_to_Blooming,39.62444771723122,46.03737373737374,42.46980854197349,34.51830808080808,40.53450292397659,50.060606060606034,43.35714285714289,47.571428571428555,47.47100515463919,52.89789473684209
Soybeans_Blooming_to_Setting,16.089837997054474,15.685306674997435,14.144329896907209,18.775265957446805,15.562719298245582,16.333333333333343,14.312857142857098,15.282738095238074,15.598214285714278,19.429605263157896
Soybeans_Setting_to_Dropping,46.09812409812412,45.587319587628826,42.21649484536081,46.049860305179465,43.45833333333337,37.33262626262626,41.930000000000035,42.84583333333336,42.35714285714295,36.692018072289216
Soybeans_Dropping_to_Harvested,25.383838383838395,27.860000000000014,37.10793814432989,27.347373737373744,24.00999999999999,27.930000000000007,21.139999999999986,24.920000000000016,18.117142857142767,8.953815261044099
Spring Wheat_Planted_to_Emerged,15.005454545454555,13.789999999999992,10.946868686868669,11.995919243986236,13.241313131313134,15.825656565656558,16.38000000000001,10.780000000000015,17.683131313131327,16.239999999999995
Spring Wheat_Emerged_to_Headed,49.489999999999995,48.30000000000001,34.729898989899,39.278460188637865,39.118686868686865,43.36291486291486,45.23414141414142,35.0,42.623710792131845,46.34
Spring Wheat_Headed_to_Harvested,44.31,46.639090909090896,44.23010101010101,50.70978723404255,45.80050505050505,45.67142857142858,40.65585858585857,50.889999999999986,47.98315789473682,52.150000000000006
