,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,13.080808080808083,9.642857142857167,12.18253968253967,11.199999999999989,11.958333333333314,11.785714285714278,12.49278499278499,14.145743145743154,14.594609106529191,12.321381578947367
Corn_Emerged_to_Silking,59.00432900432902,56.66142857142856,48.17460317460316,57.53999999999999,55.633928571428555,58.63696612665689,50.790043290043315,55.4343434343435,48.65390279823268,51.79124999999999
Corn_Silking_to_Dough,23.381428571428557,25.834242424242433,24.244285714285724,17.99000000000001,20.718571428571437,19.617319587628828,20.584242424242404,19.020202020201992,22.50073637702505,20.376363636363635
Corn_Dough_to_Dented,16.659999999999997,19.03575757575757,20.72,21.28,22.281428571428563,20.51000000000002,22.189999999999998,21.04256854256849,21.067835051546382,19.943636363636386
Corn_Dented_to_Mature,20.30000000000001,18.900000000000006,21.05303030303031,19.599999999999994,20.208571428571446,23.799999999999983,20.789999999999992,21.642857142857196,16.80000000000001,16.07591397849464
Corn_Mature_to_Harvested,16.379999999999967,19.74000000000001,20.2469696969697,16.730000000000018,21.709898989899017,23.52000000000001,20.30000000000001,24.9105339105339,20.322626262626272,12.44553529686766
Soybeans_Planted_to_Emerged,11.537858220211177,11.107190590751145,9.550872711792266,10.824742268041234,10.50794100964265,10.082235920425887,9.611248966087686,15.19100793417573,13.530651340996172,15.68992248062014
Soybeans_Emerged_to_Blooming,44.53573376977627,38.88860357055515,41.59299084030266,43.57015735214324,44.796659597030754,50.88116677235254,44.99271255060728,45.83286336836707,42.27695099818513,44.864384635484726
Soybeans_Blooming_to_Setting,13.540649496080647,15.712765957446805,16.07900396151669,15.633082706766913,13.95568561872912,13.263157894736878,17.79849624060148,16.29717853839037,17.435811177428064,17.474061678221403
Soybeans_Setting_to_Dropping,50.10526315789477,54.77166045185348,53.429239766081906,48.28571428571428,51.42523768366462,51.383303085299445,47.801843317972356,53.184782608695684,46.316415543219705,39.251631205673704
Soybeans_Dropping_to_Harvested,23.80000000000001,25.833312631971182,26.798661311914316,23.618045112781942,25.101685393258435,30.76592292089248,24.77122728958102,23.945527236381793,22.777873811581657,9.47757575757575
