,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Corn_Planted_to_Emerged,14.866250000000008,13.62438625204581,11.123478464419463,14.636582017844887,17.121303763440864,13.973903508771883,8.918362627197041,10.686554068874756,13.918636187524214,13.5625
Corn_Emerged_to_Silking,59.0625,58.990998363338804,53.070761494252906,52.53546099290779,58.33333333333334,59.75996376811594,61.677382053654014,60.77577741407529,59.14956304619227,59.731798245614016
Corn_Silking_to_Dough,22.319711538461547,21.022361359570652,23.449345094894426,23.0,20.334591626630043,20.530100334448207,18.442183163737297,19.551003344481586,19.366666666666674,19.42918660287083
Corn_Dough_to_Dented,16.366801619433176,21.547568710359428,18.59928443649369,20.916666666666686,19.347790507364977,20.043269230769198,20.057816836262703,18.601074462768622,20.482905982905976,20.414956011730226
Corn_Dented_to_Mature,21.032236842105277,23.28935698447893,20.38296112489661,26.509036144578317,20.12339743589746,22.822916666666686,20.680407801418426,19.737904303662134,23.759410801964066,13.331797235023032
Corn_Mature_to_Harvested,37.225543478260875,33.91659138813611,36.43609481915934,32.34907196352981,34.301005747126396,30.114583333333314,32.38825757575762,37.41409028727776,23.376284962945192,6.821428571428555
Soybeans_Planted_to_Emerged,12.232323232323267,11.733630952380935,9.727850877192964,11.534796099290787,15.697698635842983,13.444949494949498,11.5,11.709131075110463,12.775451030927826,15.48484848484847
Soybeans_Emerged_to_Blooming,42.141414141414145,42.07886904761904,42.739219015280185,42.69935245143387,40.94308419243981,46.52525252525248,45.38690476190473,49.43068655406887,50.84440789473683,45.788530465949805
Soybeans_Blooming_to_Setting,15.417676767676767,13.488048245614038,14.631777625257342,12.86907114624509,16.697916666666686,15.618973237529957,16.97981099656357,18.421836506159025,15.936842105263167,18.13508064516128
Soybeans_Setting_to_Dropping,53.380303030303,54.03278508771933,51.460582306830986,50.75598729227758,53.25148809523813,52.21796759941088,51.16494845360825,47.30526315789473,45.0,46.52083333333337
Soybeans_Dropping_to_Harvested,28.227428928459858,20.13585992907798,32.9117581187009,25.842585646411635,23.64285714285711,24.930735930735977,19.845360824742272,21.49343583678302,15.696969696969688,5.833333333333314
