Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-17,,,,,,1.0,,,,,,,
2016-04-24,,,,,,11.0,,,,,,2.0,
2016-05-01,,,4.0,,,30.0,,,,,,6.0,
2016-05-08,,,15.0,,,38.0,,,,,,11.0,
2016-05-15,,,28.0,,,45.0,,,,3.0,,15.0,
2016-05-22,,,39.0,,,62.0,,,,10.0,,31.0,
2016-05-29,,,60.0,,,86.0,,,,29.0,,63.0,
2016-06-05,,,80.0,,,94.0,,,,56.0,,82.0,
2016-06-12,,,91.0,,,,,,,76.0,,91.0,
2016-06-19,,,,,,,,,,87.0,,96.0,
2016-06-26,,,,,,,5.0,4.0,,95.0,,,
2016-07-03,,,,,,,11.0,17.0,,,,,
2016-07-10,,,,,,,24.0,38.0,,,,,2.0
2016-07-17,,,,,,,50.0,56.0,,,,,19.0
2016-07-24,,10.0,,,,,78.0,70.0,,,,,35.0
2016-07-31,,29.0,,,,,89.0,80.0,,,,,50.0
2016-08-07,10.0,49.0,,,,,95.0,90.0,,,,,66.0
2016-08-14,23.0,72.0,,,,,,94.0,,,,,78.0
2016-08-21,44.0,84.0,,,,,,,,,,,89.0
2016-08-28,62.0,95.0,,,8.0,,,,5.0,,,,94.0
2016-09-04,77.0,99.0,,,20.0,,,,11.0,,,,97.0
2016-09-11,88.0,,,3.0,35.0,,,,26.0,,,,
2016-09-18,95.0,,,7.0,56.0,,,,45.0,,2.0,,
2016-09-25,99.0,,,15.0,74.0,,,,68.0,,9.0,,
2016-10-02,,,,24.0,87.0,,,,82.0,,15.0,,
2016-10-09,,,,38.0,94.0,,,,91.0,,33.0,,
2016-10-16,,,,52.0,97.0,,,,96.0,,54.0,,
2016-10-23,,,,64.0,,,,,,,71.0,,
2016-10-30,,,,76.0,,,,,,,83.0,,
2016-11-06,,,,87.0,,,,,,,91.0,,
2016-11-13,,,,94.0,,,,,,,96.0,,
2016-11-20,,,,97.0,,,,,,,,,
2017-04-16,,,,,,4.0,,,,,,,
2017-04-23,,,2.0,,,15.0,,,,,,3.0,
2017-04-30,,,10.0,,,45.0,,,,,,16.0,
2017-05-07,,,18.0,,,51.0,,,,,,19.0,
2017-05-14,,,29.0,,,56.0,,,,4.0,,23.0,
