Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-10,,,,,,6.0,,,,,,,
2016-04-17,,,,,,23.0,,,,,,,
2016-04-24,,,8.0,,,50.0,,,,,,3.0,
2016-05-01,,,29.0,,,64.0,,,,,,7.0,
2016-05-08,,,49.0,,,74.0,,,,,,15.0,
2016-05-15,,,63.0,,,82.0,,,,7.0,,21.0,
2016-05-22,,,71.0,,,83.0,,,,12.0,,24.0,
2016-05-29,,,77.0,,,87.0,,,,20.0,,31.0,
2016-06-05,,,84.0,,,92.0,,,,28.0,,43.0,
2016-06-12,,,88.0,,,,,,,41.0,,67.0,
2016-06-19,,,,,,,,,,58.0,,80.0,
2016-06-26,,,,,,,18.0,1.0,,76.0,,,
2016-07-03,,,,,,,45.0,6.0,,,,,
2016-07-10,,,,,,,62.0,18.0,,,,,
2016-07-17,,,,,,,75.0,31.0,,,,,8.0
2016-07-24,,31.0,,,,,85.0,47.0,,,,,18.0
2016-07-31,,43.0,,,,,90.0,60.0,,,,,31.0
2016-08-07,32.0,54.0,,,,,93.0,69.0,,,,,46.0
2016-08-14,49.0,70.0,,,,,,81.0,,,,,60.0
2016-08-21,63.0,80.0,,,,,,,,,,,73.0
2016-08-28,74.0,88.0,,,33.0,,,,2.0,,,,84.0
2016-09-04,84.0,93.0,,,58.0,,,,7.0,,,,90.0
2016-09-11,90.0,,,27.0,74.0,,,,14.0,,,,
2016-09-18,94.0,,,41.0,83.0,,,,24.0,,7.0,,
2016-09-25,96.0,,,59.0,89.0,,,,42.0,,13.0,,
2016-10-02,,,,72.0,95.0,,,,57.0,,21.0,,
2016-10-09,,,,83.0,97.0,,,,75.0,,30.0,,
2016-10-16,,,,89.0,99.0,,,,84.0,,41.0,,
2016-10-23,,,,94.0,,,,,,,57.0,,
2016-10-30,,,,97.0,,,,,,,75.0,,
2016-11-06,,,,99.0,,,,,,,87.0,,
2016-11-13,,,,99.0,,,,,,,93.0,,
2016-11-20,,,,100.0,,,,,,,,,
2017-04-09,,,,,,4.0,,,,,,,
2017-04-16,,,,,,19.0,,,,,,,
2017-04-23,,,10.0,,,29.0,,,,,,2.0,
2017-04-30,,,24.0,,,42.0,,,,,,6.0,
2017-05-07,,,33.0,,,50.0,,,,,,10.0,
2017-05-14,,,45.0,,,68.0,,,,6.0,,18.0,
2017-05-21,,,60.0,,,83.0,,,,13.0,,34.0,
2017-05-28,,,74.0,,,91.0,,,,26.0,,45.0,
2017-06-04,,,83.0,,,95.0,,,,38.0,,60.0,
2017-06-11,,,92.0,,,,,,,51.0,,73.0,
2017-06-18,,,96.0,,,,,,,70.0,,87.0,
2017-06-25,,,,,,,20.0,2.0,,82.0,,,
2017-07-02,,,,,,,45.0,13.0,,90.0,,,
2017-07-09,,,,,,,59.0,22.0,,,,,2.0
2017-07-16,,,,,,,76.0,36.0,,,,,16.0
2017-07-23,,31.0,,,,,86.0,50.0,,,,,28.0
2017-07-30,,42.0,,,,,90.0,61.0,,,,,39.0
2017-08-06,31.0,52.0,,,,,93.0,71.0,,,,,50.0
2017-08-13,42.0,64.0,,,,,95.0,79.0,,,,,60.0
2017-08-20,57.0,76.0,,,,,,84.0,,,,,71.0
2017-08-27,71.0,86.0,,,39.0,,,,3.0,,,,79.0
2017-09-03,81.0,92.0,,,52.0,,,,11.0,,,,86.0
2017-09-10,88.0,96.0,,22.0,68.0,,,,17.0,,,,
2017-09-17,93.0,,,29.0,76.0,,,,26.0,,5.0,,
2017-09-24,96.0,,,36.0,82.0,,,,39.0,,9.0,,
2017-10-01,98.0,,,56.0,91.0,,,,55.0,,17.0,,
2017-10-08,,,,66.0,93.0,,,,68.0,,26.0,,
2017-10-15,,,,72.0,96.0,,,,77.0,,33.0,,
2017-10-22,,,,81.0,99.0,,,,83.0,,45.0,,
2017-10-29,,,,87.0,,,,,,,55.0,,
2017-11-05,,,,90.0,,,,,,,63.0,,
2017-11-12,,,,92.0,,,,,,,69.0,,
2017-11-19,,,,94.0,,,,,,,78.0,,
2017-11-26,,,,96.0,,,,,,,,,
2018-04-15,,,,,,3.0,,,,,,,
2018-04-22,,,,,,10.0,,,,,,,
2018-04-29,,,3.0,,,15.0,,,,,,1.0,
2018-05-06,,,14.0,,,37.0,,,,,,6.0,
2018-05-13,,,30.0,,,63.0,,,,2.0,,15.0,
2018-05-20,,,52.0,,,81.0,,,,13.0,,35.0,
2018-05-27,,,68.0,,,90.0,,,,33.0,,56.0,
2018-06-03,,,81.0,,,94.0,,,,48.0,,65.0,
2018-06-10,,,92.0,,,,,,,59.0,,76.0,
2018-06-17,,,96.0,,,,,,,71.0,,86.0,
2018-06-24,,,,,,,16.0,3.0,,82.0,,,
2018-07-01,,,,,,,44.0,12.0,,,,,
2018-07-08,,,,,,,62.0,28.0,,,,,3.0
2018-07-15,,,,,,,77.0,39.0,,,,,17.0
2018-07-22,,32.0,,,,,86.0,52.0,,,,,30.0
2018-07-29,,45.0,,,,,91.0,64.0,,,,,41.0
2018-08-05,32.0,58.0,,,,,94.0,76.0,,,,,53.0
2018-08-12,48.0,70.0,,,,,,86.0,,,,,67.0
2018-08-19,59.0,80.0,,,,,,,,,,,76.0
2018-08-26,71.0,88.0,,,47.0,,,,1.0,,,,83.0
2018-09-02,82.0,93.0,,,59.0,,,,11.0,,,,
2018-09-09,90.0,,,24.0,74.0,,,,19.0,,,,
2018-09-16,94.0,,,34.0,81.0,,,,32.0,,8.0,,
2018-09-23,96.0,,,50.0,87.0,,,,46.0,,15.0,,
2018-09-30,,,,60.0,92.0,,,,60.0,,21.0,,
2018-10-07,,,,71.0,95.0,,,,72.0,,29.0,,
2018-10-14,,,,79.0,97.0,,,,81.0,,39.0,,
2018-10-21,,,,84.0,,,,,,,46.0,,
2018-10-28,,,,89.0,,,,,,,56.0,,
2018-11-04,,,,92.0,,,,,,,64.0,,
2018-11-11,,,,94.0,,,,,,,72.0,,
2018-11-18,,,,95.0,,,,,,,75.0,,
2018-11-25,,,,96.0,,,,,,,80.0,,
2019-04-07,,,,,,2.0,,,,,,,
2019-04-14,,,,,,8.0,,,,,,,
2019-04-21,,,,,,17.0,,,,,,1.0,
2019-04-28,,,12.0,,,28.0,,,,,,4.0,
2019-05-05,,,22.0,,,42.0,,,,,,8.0,
2019-05-12,,,37.0,,,55.0,,,,,,13.0,
2019-05-19,,,50.0,,,71.0,,,,8.0,,22.0,
2019-05-26,,,65.0,,,82.0,,,,17.0,,38.0,
2019-06-02,,,74.0,,,87.0,,,,29.0,,49.0,
2019-06-09,,,85.0,,,94.0,,,,44.0,,61.0,
2019-06-16,,,91.0,,,97.0,,,,56.0,,74.0,
2019-06-23,,,95.0,,,100.0,,,,65.0,,80.0,
2019-06-30,,,98.0,,,,,,,74.0,,87.0,
2019-07-07,,,99.0,,,,47.0,14.0,,81.0,,93.0,
2019-07-14,,,,,,,60.0,23.0,,90.0,,,
2019-07-21,,19.0,,,,,69.0,34.0,,,,,11.0
2019-07-28,,34.0,,,,,79.0,51.0,,,,,25.0
2019-08-04,,43.0,,,,,86.0,62.0,,,,,37.0
2019-08-11,31.0,56.0,,,,,92.0,73.0,,,,,47.0
2019-08-18,47.0,69.0,,,,,95.0,80.0,,,,,57.0
2019-08-25,57.0,76.0,,,,,,87.0,,,,,69.0
2019-09-01,70.0,83.0,,,40.0,,,91.0,,,,,80.0
2019-09-08,85.0,93.0,,,59.0,,,,,,,,87.0
2019-09-15,91.0,95.0,,26.0,71.0,,,,25.0,,,,91.0
2019-09-22,96.0,99.0,,44.0,82.0,,,,41.0,,,,
2019-09-29,99.0,,,58.0,90.0,,,,55.0,,19.0,,
2019-10-06,100.0,,,76.0,96.0,,,,69.0,,31.0,,
2019-10-13,100.0,,,84.0,99.0,,,,80.0,,45.0,,
2019-10-20,,,,90.0,100.0,,,,89.0,,57.0,,
2019-10-27,,,,94.0,100.0,,,,93.0,,69.0,,
2019-11-03,,,,95.0,100.0,,,,,,77.0,,
2019-11-10,,,,96.0,,,,,,,83.0,,
2019-11-17,,,,98.0,,,,,,,88.0,,
2019-11-24,,,,99.0,,,,,,,92.0,,
2019-12-01,,,,100.0,,,,,,,96.0,,
2019-12-08,,,,100.0,,,,,,,,,
2020-04-12,,,,,,12.0,,,,,,,
2020-04-19,,,,,,25.0,,,,,,9.0,
2020-04-26,,,14.0,,,44.0,,,,,,18.0,
2020-05-03,,,28.0,,,57.0,,,,,,25.0,
2020-05-10,,,42.0,,,65.0,,,,16.0,,33.0,
2020-05-17,,,56.0,,,74.0,,,,24.0,,39.0,
2020-05-24,,,64.0,,,79.0,,,,33.0,,46.0,
2020-05-31,,,72.0,,,86.0,,,,39.0,,52.0,
2020-06-07,,,79.0,,,93.0,,,,50.0,,68.0,
2020-06-14,,,90.0,,,,,,,62.0,,74.0,
2020-06-21,,,,,,,2.0,7.0,,73.0,,86.0,
2020-06-28,,,,,,,9.0,9.0,,82.0,,,
2020-07-05,,,,,,,28.0,14.0,,,,,1.0
2020-07-12,,4.0,,,,,52.0,25.0,,,,,10.0
2020-07-19,,13.0,,,,,67.0,42.0,,,,,25.0
2020-07-26,,24.0,,,,,80.0,56.0,,,,,32.0
2020-08-02,,44.0,,,,,89.0,67.0,,,,,45.0
2020-08-09,37.0,59.0,,,,,95.0,77.0,,,,,59.0
2020-08-16,49.0,71.0,,,,,,84.0,,,,,65.0
2020-08-23,58.0,79.0,,,22.0,,,,4.0,,,,76.0
2020-08-30,73.0,91.0,,,37.0,,,,7.0,,,,83.0
2020-09-06,82.0,94.0,,,51.0,,,,14.0,,,,
2020-09-13,92.0,,,13.0,71.0,,,,24.0,,,,
2020-09-20,95.0,,,30.0,81.0,,,,36.0,,8.0,,
2020-09-27,,,,54.0,92.0,,,,55.0,,17.0,,
2020-10-04,,,,66.0,96.0,,,,69.0,,26.0,,
2020-10-11,,,,74.0,99.0,,,,78.0,,36.0,,
2020-10-18,,,,80.0,99.0,,,,84.0,,42.0,,
2020-10-25,,,,86.0,,,,,,,51.0,,
2020-11-01,,,,88.0,,,,,,,56.0,,
2020-11-08,,,,93.0,,,,,,,68.0,,
2020-11-15,,,,95.0,,,,,,,79.0,,
2021-04-11,,,,,,10.0,,,,,,,
2021-04-18,,,1.0,,,26.0,,,,,,4.0,
2021-04-25,,,13.0,,,41.0,,,,,,14.0,
2021-05-02,,,29.0,,,61.0,,,,,,26.0,
2021-05-09,,,46.0,,,71.0,,,,17.0,,32.0,
2021-05-16,,,57.0,,,78.0,,,,21.0,,41.0,
2021-05-23,,,64.0,,,85.0,,,,32.0,,55.0,
2021-05-30,,,77.0,,,92.0,,,,45.0,,66.0,
2021-06-06,,,85.0,,,,,,,57.0,,74.0,
2021-06-13,,,94.0,,,,,,,64.0,,82.0,
2021-06-20,,,,,,,,1.0,,72.0,,87.0,
2021-06-27,,,,,,,11.0,6.0,,82.0,,,
2021-07-04,,,,,,,31.0,20.0,,,,,
2021-07-11,,,,,,,53.0,37.0,,,,,10.0
2021-07-18,,8.0,,,,,70.0,46.0,,,,,21.0
2021-07-25,,24.0,,,,,83.0,64.0,,,,,41.0
2021-08-01,,37.0,,,,,91.0,74.0,,,,,53.0
2021-08-08,24.0,50.0,,,,,93.0,82.0,,,,,63.0
2021-08-15,36.0,60.0,,,,,,85.0,,,,,72.0
2021-08-22,53.0,71.0,,,21.0,,,90.0,3.0,,,,80.0
2021-08-29,62.0,78.0,,,30.0,,,,5.0,,,,84.0
2021-09-05,72.0,84.0,,,43.0,,,,10.0,,,,88.0
2021-09-12,83.0,,,15.0,60.0,,,,27.0,,,,
2021-09-19,89.0,,,28.0,75.0,,,,38.0,,9.0,,
2021-09-26,91.0,,,39.0,82.0,,,,48.0,,17.0,,
2021-10-03,,,,50.0,88.0,,,,59.0,,25.0,,
2021-10-10,,,,61.0,95.0,,,,71.0,,30.0,,
2021-10-17,,,,69.0,99.0,,,,80.0,,36.0,,
2021-10-24,,,,78.0,,,,,,,46.0,,
2021-10-31,,,,84.0,,,,,,,56.0,,
2021-11-07,,,,89.0,,,,,,,66.0,,
2021-11-14,,,,91.0,,,,,,,76.0,,
2021-11-21,,,,95.0,,,,,,,83.0,,
2022-04-03,,,,,,1.0,,,,,,,
2022-04-10,,,,,,4.0,,,,,,,
2022-04-17,,,,,,6.0,,,,,,2.0,
2022-04-24,,,,,,10.0,,,,,,5.0,
2022-05-01,,,3.0,,,26.0,,,,,,12.0,
2022-05-08,,,14.0,,,39.0,,,,2.0,,19.0,
2022-05-15,,,32.0,,,65.0,,,,17.0,,41.0,
2022-05-22,,,54.0,,,81.0,,,,27.0,,51.0,
2022-05-29,,,67.0,,,89.0,,,,41.0,,63.0,
2022-06-05,,,79.0,,,95.0,,,,56.0,,73.0,
2022-06-12,,,86.0,,,98.0,,,,65.0,,80.0,
2022-06-19,,,92.0,,,,,,,72.0,,87.0,
2022-06-26,,,,,,,10.0,7.0,,81.0,,94.0,
2022-07-03,,,,,,,30.0,20.0,,90.0,,,
2022-07-10,,3.0,,,,,51.0,30.0,,,,,4.0
2022-07-17,,11.0,,,,,66.0,45.0,,,,,16.0
2022-07-24,,24.0,,,,,76.0,59.0,,,,,31.0
2022-07-31,,40.0,,,,,88.0,68.0,,,,,46.0
2022-08-07,33.0,55.0,,,,,92.0,74.0,,,,,53.0
2022-08-14,43.0,63.0,,,,,95.0,82.0,,,,,62.0
2022-08-21,54.0,71.0,,,13.0,,99.0,90.0,,,,,74.0
2022-08-28,69.0,81.0,,,22.0,,,,4.0,,,,84.0
2022-09-04,75.0,88.0,,,40.0,,,,10.0,,,,89.0
2022-09-11,81.0,95.0,,12.0,53.0,,,,16.0,,,,93.0
2022-09-18,90.0,,,26.0,71.0,,,,32.0,,5.0,,
2022-09-25,95.0,,,43.0,81.0,,,,46.0,,13.0,,
2022-10-02,98.0,,,57.0,91.0,,,,57.0,,22.0,,
2022-10-09,,,,67.0,95.0,,,,70.0,,31.0,,
2022-10-16,,,,78.0,99.0,,,,81.0,,48.0,,
2022-10-23,,,,85.0,100.0,,,,,,60.0,,
2022-10-30,,,,91.0,,,,,,,71.0,,
2022-11-06,,,,94.0,,,,,,,80.0,,
2022-11-13,,,,96.0,,,,,,,86.0,,
2022-11-20,,,,99.0,,,,,,,,,
2023-04-02,,,,,,2.0,,,,,,,
2023-04-09,,,,,,5.0,,,,,,,
2023-04-16,,,,,,14.0,,,,,,7.0,
2023-04-23,,,12.0,,,36.0,,,,,,19.0,
2023-04-30,,,24.0,,,52.0,,,,,,27.0,
2023-05-07,,,36.0,,,66.0,,,,14.0,,38.0,
2023-05-14,,,47.0,,,75.0,,,,20.0,,48.0,
2023-05-21,,,64.0,,,84.0,,,,38.0,,60.0,
2023-05-28,,,76.0,,,91.0,,,,51.0,,72.0,
2023-06-04,,,86.0,,,97.0,,,,65.0,,80.0,
2023-06-11,,,94.0,,,,,,,73.0,,85.0,
2023-06-18,,,97.0,,,,,,,79.0,,,
2023-06-25,,,,,,,8.0,8.0,,83.0,,,
2023-07-02,,,,,,,23.0,18.0,,,,,2.0
2023-07-09,,2.0,,,,,38.0,33.0,,,,,6.0
2023-07-16,,11.0,,,,,59.0,42.0,,,,,20.0
2023-07-23,,26.0,,,,,73.0,50.0,,,,,29.0
2023-07-30,,36.0,,,,,84.0,57.0,,,,,39.0
2023-08-06,24.0,47.0,,,,,89.0,67.0,,,,,49.0
2023-08-13,38.0,60.0,,,,,91.0,76.0,,,,,60.0
2023-08-20,51.0,71.0,,,11.0,,,83.0,,,,,69.0
2023-08-27,65.0,83.0,,,29.0,,,,2.0,,,,80.0
2023-09-03,72.0,90.0,,,40.0,,,,8.0,,,,88.0
2023-09-10,83.0,95.0,,8.0,48.0,,,,17.0,,,,
2023-09-17,91.0,,,20.0,62.0,,,,27.0,,6.0,,
2023-09-24,95.0,,,34.0,74.0,,,,41.0,,14.0,,
2023-10-01,,,,46.0,86.0,,,,55.0,,19.0,,
2023-10-08,,,,59.0,91.0,,,,65.0,,27.0,,
2023-10-15,,,,69.0,95.0,,,,76.0,,40.0,,
2023-10-22,,,,79.0,,,,,,,50.0,,
2023-10-29,,,,85.0,,,,,,,62.0,,
2023-11-05,,,,89.0,,,,,,,70.0,,
2023-11-12,,,,93.0,,,,,,,81.0,,
2023-11-19,,,,95.0,,,,,,,,,
2023-11-26,,,,99.0,,,,,,,,,
2024-03-31,,,,,,2.0,,,,,,,
2024-04-07,,,,,,5.0,,,,,,,
2024-04-14,,,,,,9.0,,,,,,8.0,
2024-04-21,,,8.0,,,23.0,,,,,,13.0,
2024-04-28,,,15.0,,,35.0,,,,,,22.0,
2024-05-05,,,25.0,,,46.0,,,,7.0,,33.0,
2024-05-12,,,39.0,,,58.0,,,,22.0,,40.0,
2024-05-19,,,49.0,,,65.0,,,,31.0,,46.0,
2024-05-26,,,58.0,,,73.0,,,,41.0,,56.0,
2024-06-02,,,66.0,,,79.0,,,,49.0,,63.0,
2024-06-09,,,76.0,,,90.0,,,,57.0,,71.0,
2024-06-16,,,87.0,,,,,,,65.0,,78.0,
2024-06-23,,,93.0,,,,9.0,5.0,,74.0,,86.0,
2024-06-30,,,,,,,32.0,17.0,,84.0,,,
2024-07-07,,,,,,,46.0,27.0,,,,,6.0
2024-07-14,,9.0,,,,,65.0,41.0,,,,,19.0
2024-07-21,,18.0,,,,,77.0,57.0,,,,,32.0
2024-07-28,,30.0,,,,,83.0,66.0,,,,,42.0
2024-08-04,22.0,48.0,,,,,90.0,74.0,,,,,54.0
2024-08-11,37.0,61.0,,,,,93.0,80.0,,,,,65.0
2024-08-18,54.0,75.0,,,5.0,,96.0,88.0,,,,,77.0
2024-08-25,66.0,83.0,,,25.0,,,,3.0,,,,85.0
2024-09-01,80.0,90.0,,,50.0,,,,15.0,,,,91.0
2024-09-08,88.0,95.0,,22.0,67.0,,,,29.0,,,,95.0
2024-09-15,92.0,,,33.0,78.0,,,,41.0,,11.0,,
2024-09-22,96.0,,,45.0,85.0,,,,55.0,,20.0,,
2024-09-29,99.0,,,56.0,91.0,,,,66.0,,28.0,,
2024-10-06,,,,66.0,95.0,,,,74.0,,33.0,,
2024-10-13,,,,76.0,98.0,,,,84.0,,42.0,,
2024-10-20,,,,82.0,100.0,,,,,,54.0,,
