Date,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-24,,,,,19.0,
2016-05-01,,,,,29.0,
2016-05-08,,,,,45.0,
2016-05-15,,,48.0,,72.0,
2016-05-22,,,73.0,,82.0,
2016-05-29,,,85.0,,90.0,
2016-06-05,,,90.0,,94.0,
2016-06-12,,,94.0,,97.0,
2016-06-19,,,97.0,,99.0,
2016-06-26,62.0,,98.0,,,
2016-07-03,74.0,,,,,
2016-07-10,81.0,,,,,54.0
2016-07-17,89.0,,,,,68.0
2016-07-24,95.0,,,,,80.0
2016-07-31,97.0,,,,,89.0
2016-08-07,98.0,,,,,93.0
2016-08-14,99.0,,,,,96.0
2016-08-21,,,,,,98.0
2016-08-28,,38.0,,,,99.0
2016-09-04,,52.0,,,,100.0
2016-09-11,,63.0,,,,
2016-09-18,,74.0,,44.0,,
2016-09-25,,84.0,,59.0,,
2016-10-02,,91.0,,74.0,,
2016-10-09,,97.0,,87.0,,
2016-10-16,,99.0,,93.0,,
2016-10-23,,,,97.0,,
2016-10-30,,,,99.0,,
2016-11-06,,,,100.0,,
2016-11-13,,,,100.0,,
2017-04-23,,,,,59.0,
2017-04-30,,,,,66.0,
2017-05-07,,,,,76.0,
2017-05-14,,,76.0,,86.0,
2017-05-21,,,84.0,,91.0,
2017-05-28,,,91.0,,94.0,
2017-06-04,,,93.0,,96.0,
2017-06-11,,,96.0,,98.0,
2017-06-18,,,97.0,,99.0,
2017-06-25,79.0,,99.0,,,
2017-07-02,83.0,,100.0,,,
2017-07-09,87.0,,,,,67.0
2017-07-16,91.0,,,,,81.0
2017-07-23,94.0,,,,,87.0
2017-07-30,98.0,,,,,94.0
2017-08-06,100.0,,,,,97.0
2017-08-13,100.0,,,,,99.0
2017-08-20,100.0,,,,,100.0
2017-08-27,,54.0,,,,100.0
2017-09-03,,64.0,,,,100.0
2017-09-10,,75.0,,,,
2017-09-17,,85.0,,63.0,,
2017-09-24,,91.0,,75.0,,
2017-10-01,,96.0,,85.0,,
2017-10-08,,99.0,,91.0,,
2017-10-15,,100.0,,95.0,,
2017-10-22,,100.0,,98.0,,
