Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting,Spring Wheat - Emerged,Spring Wheat - Harvested,Spring Wheat - Headed,Spring Wheat - Planted
2016-04-10,,,,,,,,,,,,,,,,,5.0
2016-04-17,,,,,,13.0,,,,,,,,,,,23.0
2016-04-24,,,1.0,,,45.0,,,,,,2.0,,9.0,,,46.0
2016-05-01,,,5.0,,,59.0,,,,,,6.0,,27.0,,,63.0
2016-05-08,,,25.0,,,89.0,,,,,,46.0,,48.0,,,87.0
2016-05-15,,,53.0,,,93.0,,,,9.0,,63.0,,78.0,,,96.0
2016-05-22,,,78.0,,,98.0,,,,33.0,,86.0,,90.0,,,98.0
2016-05-29,,,92.0,,,99.0,,,,67.0,,95.0,,99.0,,,
2016-06-05,,,98.0,,,100.0,,,,85.0,,98.0,,100.0,,,
2016-06-12,,,100.0,,,,,,,96.0,,100.0,,,,,
2016-06-19,,,,,,,,,,99.0,,100.0,,,,48.0,
2016-06-26,,,,,,,,1.0,,100.0,,,,,,72.0,
2016-07-03,,,,,,,,18.0,,,,,,,,87.0,
2016-07-10,,,,,,,16.0,48.0,,,,,3.0,,,94.0,
2016-07-17,,,,,,,51.0,72.0,,,,,12.0,,,97.0,
2016-07-24,,2.0,,,,,86.0,90.0,,,,,39.0,,,,
2016-07-31,,26.0,,,,,95.0,94.0,,,,,64.0,,13.0,,
2016-08-07,1.0,54.0,,,,,98.0,97.0,,,,,79.0,,42.0,,
2016-08-14,12.0,78.0,,,,,,98.0,,,,,89.0,,57.0,,
2016-08-21,31.0,90.0,,,,,,,,,,,95.0,,77.0,,
2016-08-28,58.0,95.0,,,,,,,,,,,97.0,,88.0,,
2016-09-04,77.0,98.0,,,7.0,,,,6.0,,,,100.0,,98.0,,
2016-09-11,90.0,,,,18.0,,,,23.0,,,,,,100.0,,
2016-09-18,96.0,,,,45.0,,,,56.0,,2.0,,,,100.0,,
2016-09-25,98.0,,,3.0,70.0,,,,83.0,,13.0,,,,,,
2016-10-02,,,,8.0,87.0,,,,96.0,,40.0,,,,,,
2016-10-09,,,,14.0,95.0,,,,99.0,,64.0,,,,,,
2016-10-16,,,,31.0,99.0,,,,100.0,,87.0,,,,,,
2016-10-23,,,,55.0,,,,,,,95.0,,,,,,
2016-10-30,,,,75.0,,,,,,,97.0,,,,,,
2016-11-06,,,,86.0,,,,,,,98.0,,,,,,
2016-11-13,,,,94.0,,,,,,,99.0,,,,,,
2016-11-20,,,,97.0,,,,,,,,,,,,,
2017-04-09,,,,,,,,,,,,,,,,,2.0
2017-04-16,,,,,,1.0,,,,,,,,,,,9.0
2017-04-23,,,,,,6.0,,,,,,,,2.0,,,14.0
2017-04-30,,,,,,12.0,,,,,,,,5.0,,,21.0
2017-05-07,,,1.0,,,35.0,,,,,,4.0,,16.0,,,65.0
2017-05-14,,,20.0,,,84.0,,,,,,47.0,,36.0,,,93.0
2017-05-21,,,59.0,,,94.0,,,,16.0,,72.0,,75.0,,,99.0
