Date,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-24,,,,,25.0,
2016-05-01,,,,,46.0,
2016-05-08,,,,,57.0,
2016-05-15,,,55.0,,72.0,
2016-05-22,,,66.0,,82.0,
2016-05-29,,,78.0,,89.0,
2016-06-05,,,85.0,,92.0,
2016-06-12,,,90.0,,95.0,
2016-06-19,,,95.0,,98.0,
2016-06-26,43.0,,98.0,,,
2016-07-03,57.0,,,,,
2016-07-10,66.0,,,,,32.0
2016-07-17,77.0,,,,,50.0
2016-07-24,83.0,,,,,65.0
2016-07-31,89.0,,,,,79.0
2016-08-07,94.0,,,,,86.0
2016-08-14,96.0,,,,,89.0
2016-08-21,,,,,,92.0
2016-08-28,,21.0,,,,94.0
2016-09-04,,34.0,,,,95.0
2016-09-11,,46.0,,,,
2016-09-18,,66.0,,34.0,,
2016-09-25,,78.0,,45.0,,
2016-10-02,,90.0,,67.0,,
2016-10-09,,93.0,,81.0,,
2016-10-16,,95.0,,87.0,,
2016-10-23,,,,92.0,,
2016-10-30,,,,94.0,,
2016-11-06,,,,98.0,,
2016-11-13,,,,99.0,,
2017-04-23,,,,,60.0,
2017-04-30,,,,,69.0,
2017-05-07,,,,,74.0,
2017-05-14,,,72.0,,81.0,
2017-05-21,,,77.0,,86.0,
2017-05-28,,,84.0,,89.0,
2017-06-04,,,89.0,,92.0,
2017-06-11,,,92.0,,95.0,
2017-06-18,,,94.0,,97.0,
2017-06-25,61.0,,95.0,,,
2017-07-02,73.0,,96.0,,,
2017-07-09,79.0,,,,,38.0
2017-07-16,85.0,,,,,63.0
2017-07-23,90.0,,,,,76.0
2017-07-30,93.0,,,,,82.0
2017-08-06,95.0,,,,,88.0
2017-08-13,98.0,,,,,92.0
2017-08-20,100.0,,,,,96.0
2017-08-27,,44.0,,,,98.0
2017-09-03,,55.0,,,,100.0
2017-09-10,,64.0,,,,
2017-09-17,,71.0,,38.0,,
2017-09-24,,80.0,,50.0,,
2017-10-01,,88.0,,64.0,,
2017-10-08,,91.0,,73.0,,
2017-10-15,,95.0,,80.0,,
2017-10-22,,97.0,,88.0,,
2017-10-29,,,,94.0,,
2017-11-05,,,,95.0,,
2017-11-12,,,,98.0,,
2017-11-19,,,,100.0,,
2018-04-22,,,,,30.0,
2018-04-29,,,,,35.0,
2018-05-06,,,,,53.0,
2018-05-13,,,46.0,,72.0,
2018-05-20,,,66.0,,84.0,
2018-05-27,,,79.0,,89.0,
2018-06-03,,,86.0,,92.0,
2018-06-10,,,91.0,,96.0,
2018-06-17,,,94.0,,98.0,
2018-06-24,54.0,,96.0,,,
2018-07-01,69.0,,,,,
2018-07-08,79.0,,,,,50.0
2018-07-15,88.0,,,,,63.0
2018-07-22,91.0,,,,,77.0
2018-07-29,94.0,,,,,84.0
2018-08-05,96.0,,,,,90.0
2018-08-12,97.0,,,,,93.0
2018-08-19,,,,,,96.0
2018-08-26,,23.0,,,,97.0
2018-09-02,,37.0,,,,
2018-09-09,,56.0,,,,
2018-09-16,,69.0,,33.0,,
2018-09-23,,80.0,,47.0,,
2018-09-30,,87.0,,50.0,,
2018-10-07,,93.0,,61.0,,
2018-10-14,,96.0,,73.0,,
2018-10-21,,,,80.0,,
2018-10-28,,,,88.0,,
2018-11-04,,,,92.0,,
2018-11-11,,,,94.0,,
2018-11-18,,,,95.0,,
2018-11-25,,,,97.0,,
2019-04-21,,,,,16.0,
2019-04-28,,,,,20.0,
2019-05-05,,,,,27.0,
2019-05-12,,,,,33.0,
2019-05-19,,,32.0,,45.0,
2019-05-26,,,44.0,,65.0,
2019-06-02,,,64.0,,80.0,
2019-06-09,,,72.0,,85.0,
2019-06-16,,,80.0,,91.0,
2019-06-23,,,87.0,,96.0,
2019-06-30,,,94.0,,97.0,
2019-07-07,68.0,,97.0,,99.0,
2019-07-14,76.0,,98.0,,,
2019-07-21,82.0,,,,,48.0
2019-07-28,88.0,,,,,63.0
2019-08-04,91.0,,,,,76.0
2019-08-11,94.0,,,,,81.0
2019-08-18,96.0,,,,,87.0
2019-08-25,98.0,,,,,91.0
2019-09-01,100.0,,,,,95.0
2019-09-08,,,,,,97.0
2019-09-15,,50.0,,,,98.0
2019-09-22,,64.0,,,,
2019-09-29,,80.0,,46.0,,
2019-10-06,,87.0,,58.0,,
2019-10-13,,95.0,,75.0,,
2019-10-20,,97.0,,85.0,,
2019-10-27,,99.0,,90.0,,
