Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-10,,,,,,24.0,,,,,,,
2016-04-17,,,,,,58.0,,,,,,,
2016-04-24,,,24.0,,,81.0,,,,,,5.0,
2016-05-01,,,57.0,,,89.0,,,,,,11.0,
2016-05-08,,,76.0,,,94.0,,,,,,23.0,
2016-05-15,,,85.0,,,96.0,,,,14.0,,31.0,
2016-05-22,,,93.0,,,97.0,,,,25.0,,46.0,
2016-05-29,,,97.0,,,99.0,,,,37.0,,59.0,
2016-06-05,,,100.0,,,100.0,,,,51.0,,68.0,
2016-06-12,,,100.0,,,,,,,64.0,,84.0,
2016-06-19,,,,,,,,,,80.0,,92.0,
2016-06-26,,,,,,,20.0,6.0,,88.0,,,
2016-07-03,,,,,,,57.0,14.0,,,,,
2016-07-10,,,,,,,81.0,28.0,,,,,2.0
2016-07-17,,,,,,,92.0,43.0,,,,,10.0
2016-07-24,,37.0,,,,,97.0,58.0,,,,,21.0
2016-07-31,,60.0,,,,,100.0,71.0,,,,,33.0
2016-08-07,11.0,77.0,,,,,100.0,77.0,,,,,42.0
2016-08-14,41.0,85.0,,,,,,84.0,,,,,55.0
2016-08-21,63.0,93.0,,,,,,,,,,,71.0
2016-08-28,79.0,97.0,,,21.0,,,,,,,,84.0
2016-09-04,91.0,99.0,,,44.0,,,,2.0,,,,93.0
2016-09-11,95.0,,,18.0,64.0,,,,7.0,,,,
2016-09-18,100.0,,,25.0,82.0,,,,21.0,,1.0,,
2016-09-25,100.0,,,38.0,93.0,,,,42.0,,5.0,,
2016-10-02,,,,56.0,98.0,,,,61.0,,13.0,,
2016-10-09,,,,70.0,99.0,,,,79.0,,23.0,,
2016-10-16,,,,78.0,100.0,,,,89.0,,34.0,,
2016-10-23,,,,87.0,,,,,,,57.0,,
2016-10-30,,,,92.0,,,,,,,73.0,,
2016-11-06,,,,95.0,,,,,,,86.0,,
2016-11-13,,,,100.0,,,,,,,92.0,,
2016-11-20,,,,100.0,,,,,,,,,
2017-04-09,,,,,,5.0,,,,,,,
2017-04-16,,,,,,17.0,,,,,,,
2017-04-23,,,13.0,,,46.0,,,,,,2.0,
2017-04-30,,,30.0,,,67.0,,,,,,5.0,
2017-05-07,,,42.0,,,77.0,,,,,,9.0,
2017-05-14,,,61.0,,,87.0,,,,4.0,,24.0,
2017-05-21,,,79.0,,,93.0,,,,20.0,,42.0,
2017-05-28,,,89.0,,,97.0,,,,34.0,,54.0,
2017-06-04,,,94.0,,,99.0,,,,51.0,,71.0,
2017-06-11,,,98.0,,,,,,,65.0,,85.0,
2017-06-18,,,100.0,,,,,,,81.0,,92.0,
2017-06-25,,,,,,,6.0,7.0,,89.0,,,
2017-07-02,,,,,,,25.0,12.0,,94.0,,,
2017-07-09,,,,,,,51.0,23.0,,,,,2.0
2017-07-16,,,,,,,81.0,44.0,,,,,14.0
2017-07-23,,30.0,,,,,92.0,56.0,,,,,23.0
2017-07-30,,55.0,,,,,96.0,69.0,,,,,34.0
2017-08-06,26.0,69.0,,,,,100.0,79.0,,,,,46.0
2017-08-13,47.0,85.0,,,,,100.0,88.0,,,,,64.0
2017-08-20,64.0,90.0,,,,,,92.0,,,,,75.0
2017-08-27,79.0,96.0,,,11.0,,,,1.0,,,,85.0
2017-09-03,88.0,100.0,,,21.0,,,,3.0,,,,92.0
2017-09-10,93.0,100.0,,12.0,42.0,,,,10.0,,,,
2017-09-17,96.0,,,21.0,61.0,,,,19.0,,1.0,,
