Date,Spring Wheat - Emerged,Spring Wheat - Harvested,Spring Wheat - Headed,Spring Wheat - Planted
2016-04-10,,,,17.0
2016-04-17,,,,34.0
2016-04-24,2.0,,,53.0
2016-05-01,21.0,,,60.0
2016-05-08,34.0,,,78.0
2016-05-15,48.0,,,86.0
2016-05-22,70.0,,,93.0
2016-05-29,83.0,,,
2016-06-05,96.0,,,
2016-06-19,,,6.0,
2016-06-26,,,25.0,
2016-07-03,,,40.0,
2016-07-10,,,75.0,
2016-07-17,,,90.0,
2016-07-31,,1.0,,
2016-08-07,,19.0,,
2016-08-14,,37.0,,
2016-08-21,,53.0,,
2016-08-28,,73.0,,
2016-09-04,,87.0,,
2016-09-11,,89.0,,
2016-09-18,,94.0,,
2017-04-09,,,,2.0
2017-04-16,,,,8.0
2017-04-23,,,,24.0
2017-04-30,6.0,,,33.0
2017-05-07,18.0,,,46.0
2017-05-14,41.0,,,77.0
2017-05-21,52.0,,,86.0
2017-05-28,65.0,,,93.0
2017-06-04,78.0,,,
2017-06-11,83.0,,,
2017-06-25,,,14.0,
2017-07-02,,,35.0,
2017-07-09,,,60.0,
2017-07-16,,,84.0,
2017-07-23,,,91.0,
2017-07-30,,5.0,,
2017-08-06,,33.0,,
2017-08-13,,39.0,,
2017-08-20,,66.0,,
2017-08-27,,85.0,,
2017-09-03,,93.0,,
2017-09-10,,97.0,,
2018-04-29,,,,6.0
2018-05-06,,,,24.0
2018-05-13,4.0,,,48.0
2018-05-20,27.0,,,66.0
2018-05-27,50.0,,,87.0
2018-06-03,71.0,,,95.0
2018-06-10,87.0,,,
2018-06-17,93.0,,3.0,
2018-06-24,,,23.0,
2018-07-01,,,32.0,
2018-07-08,,,68.0,
2018-07-15,,,83.0,
2018-07-22,,,89.0,
2018-08-05,,8.0,,
2018-08-12,,26.0,,
2018-08-19,,45.0,,
2018-08-26,,61.0,,
2018-09-02,,75.0,,
2018-09-09,,87.0,,
2018-09-16,,94.0,,
2019-04-14,,,,1.0
2019-04-21,,,,10.0
2019-04-28,,,,23.0
2019-05-05,7.0,,,32.0
2019-05-12,22.0,,,55.0
2019-05-19,32.0,,,69.0
2019-05-26,40.0,,,83.0
2019-06-02,60.0,,,93.0
2019-06-09,79.0,,,96.0
2019-06-16,89.0,,,
2019-06-30,,,17.0,
2019-07-07,,,36.0,
2019-07-14,,,60.0,
2019-07-21,,,87.0,
2019-07-28,,,96.0,
2019-08-04,,1.0,,
2019-08-11,,10.0,,
2019-08-18,,20.0,,
2019-08-25,,34.0,,
2019-09-01,,46.0,,
2019-09-08,,62.0,,
2019-09-15,,69.0,,
2019-09-22,,80.0,,
2019-09-29,,84.0,,
2019-10-06,,86.0,,
2019-10-13,,88.0,,
2019-10-20,,92.0,,
2020-04-12,,,,2.0
2020-04-19,,,,3.0
2020-04-26,,,,11.0
2020-05-03,1.0,,,33.0
2020-05-10,25.0,,,50.0
2020-05-17,45.0,,,75.0
2020-05-24,72.0,,,92.0
2020-05-31,83.0,,,97.0
2020-06-07,85.0,,,98.0
2020-06-14,96.0,,1.0,
2020-06-21,,,5.0,
2020-06-28,,,24.0,
2020-07-05,,,50.0,
2020-07-12,,,68.0,
2020-07-19,,,81.0,
2020-07-26,,,92.0,
2020-08-02,,1.0,,
2020-08-09,,15.0,,
2020-08-16,,35.0,,
2020-08-23,,55.0,,
2020-08-30,,74.0,,
2020-09-06,,84.0,,
2020-09-13,,92.0,,
2020-09-20,,95.0,,
2021-04-04,,,,1.0
2021-04-11,,,,6.0
2021-04-18,,,,15.0
2021-04-25,1.0,,,20.0
2021-05-02,6.0,,,33.0
2021-05-09,20.0,,,53.0
2021-05-16,34.0,,,71.0
2021-05-23,58.0,,,87.0
2021-05-30,74.0,,,94.0
2021-06-06,87.0,,,
2021-06-13,96.0,,1.0,
2021-06-20,,,14.0,
2021-06-27,,,28.0,
2021-07-04,,,50.0,
2021-07-11,,,66.0,
2021-07-18,,,81.0,
2021-07-25,,1.0,95.0,
2021-08-01,,19.0,,
2021-08-08,,35.0,,
2021-08-15,,54.0,,
2021-08-22,,69.0,,
2021-08-29,,85.0,,
2021-09-05,,95.0,,
2022-04-03,,,,3.0
2022-04-10,,,,7.0
2022-04-17,,,,10.0
2022-04-24,1.0,,,18.0
2022-05-01,7.0,,,31.0
2022-05-08,16.0,,,50.0
2022-05-15,30.0,,,70.0
2022-05-22,59.0,,,85.0
2022-05-29,73.0,,,94.0
2022-06-05,85.0,,,97.0
2022-06-12,95.0,,,99.0
2022-06-19,98.0,,,100.0
2022-06-26,99.0,,2.0,
2022-07-03,,,21.0,
2022-07-10,,,40.0,
2022-07-17,,,63.0,
2022-07-24,,,88.0,
2022-07-31,,,97.0,
2022-08-07,,22.0,,
2022-08-14,,26.0,,
2022-08-21,,52.0,,
2022-08-28,,75.0,,
2022-09-04,,87.0,,
2022-09-11,,99.0,,
2022-09-18,,100.0,,
2022-09-25,,100.0,,
2023-04-16,,,,1.0
2023-04-23,,,,5.0
2023-04-30,,,,12.0
2023-05-07,1.0,,,32.0
2023-05-14,15.0,,,54.0
2023-05-21,42.0,,,72.0
2023-05-28,63.0,,,81.0
2023-06-04,77.0,,,88.0
2023-06-11,90.0,,,95.0
2023-06-18,96.0,,2.0,
2023-06-25,,,28.0,
2023-07-02,,,33.0,
2023-07-09,,,65.0,
2023-07-16,,,90.0,
2023-07-23,,,94.0,
2023-07-30,,1.0,95.0,
2023-08-06,,22.0,,
2023-08-13,,39.0,,
2023-08-20,,60.0,,
2023-08-27,,71.0,,
2023-09-03,,85.0,,
2023-09-10,,90.0,,
2023-09-17,,94.0,,
2023-09-24,,95.0,,
2024-04-14,,,,2.0
2024-04-21,,,,7.0
2024-04-28,,,,35.0
2024-05-05,3.0,,,52.0
2024-05-12,18.0,,,63.0
2024-05-19,38.0,,,81.0
2024-05-26,63.0,,,88.0
2024-06-02,77.0,,,94.0
2024-06-09,89.0,,,97.0
2024-06-16,94.0,,1.0,
2024-06-23,,,16.0,
2024-06-30,,,33.0,
2024-07-07,,,58.0,
2024-07-14,,,72.0,
2024-07-21,,,88.0,
2024-07-28,,2.0,94.0,
2024-08-04,,6.0,96.0,
2024-08-11,,22.0,,
2024-08-18,,38.0,,
2024-08-25,,56.0,,
2024-09-01,,77.0,,
2024-09-08,,91.0,,
2024-09-15,,95.0,,
2024-09-22,,99.0,,
2025-04-06,,,,2.0
2025-04-13,,,,3.0
2025-04-20,,,,16.0
2025-04-27,,,,32.0
2025-05-04,5.0,,,42.0
2025-05-11,17.0,,,61.0
2025-05-18,27.0,,,76.0
2025-05-25,44.0,,,82.0
2025-06-01,52.0,,,92.0
2025-06-08,63.0,,,
2025-06-15,70.0,,,
2025-06-22,79.0,,14.0,
2025-06-29,83.0,,26.0,
2025-07-06,,,43.0,
2025-07-13,,,57.0,
2025-07-20,,,66.0,
2025-07-27,,,75.0,
2025-08-03,,4.0,85.0,
2025-08-10,,21.0,,
2025-08-17,,44.0,,
2025-08-24,,58.0,,
2025-08-31,,73.0,,
2025-09-07,,88.0,,
2025-09-14,,93.0,,
2025-09-21,,96.0,,
