Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-10,,,,,,21.0,,,,,,,
2016-04-17,,,,,,46.0,,,,,,,
2016-04-24,,,34.0,,,73.0,,,,,,1.0,
2016-05-01,,,55.0,,,84.0,,,,,,5.0,
2016-05-08,,,66.0,,,88.0,,,,,,10.0,
2016-05-15,,,82.0,,,94.0,,,,5.0,,24.0,
2016-05-22,,,88.0,,,96.0,,,,16.0,,32.0,
2016-05-29,,,93.0,,,97.0,,,,29.0,,46.0,
2016-06-05,,,95.0,,,99.0,,,,42.0,,57.0,
2016-06-12,,,98.0,,,,,,,56.0,,67.0,
2016-06-19,,,,,,,,,,68.0,,79.0,
2016-06-26,,,,,,,56.0,1.0,,77.0,,,
2016-07-03,,,,,,,84.0,13.0,,,,,
2016-07-10,,,,,,,89.0,25.0,,,,,2.0
2016-07-17,,,,,,,93.0,32.0,,,,,14.0
2016-07-24,,75.0,,,,,96.0,46.0,,,,,23.0
2016-07-31,,88.0,,,,,98.0,66.0,,,,,37.0
2016-08-07,75.0,93.0,,,,,99.0,76.0,,,,,47.0
2016-08-14,87.0,97.0,,,,,,84.0,,,,,64.0
2016-08-21,92.0,98.0,,,,,,,,,,,75.0
2016-08-28,95.0,100.0,,,81.0,,,,5.0,,,,84.0
2016-09-04,97.0,100.0,,,91.0,,,,11.0,,,,91.0
2016-09-11,98.0,,,66.0,94.0,,,,18.0,,,,
2016-09-18,100.0,,,82.0,98.0,,,,30.0,,4.0,,
2016-09-25,100.0,,,87.0,99.0,,,,44.0,,6.0,,
2016-10-02,,,,89.0,100.0,,,,52.0,,9.0,,
2016-10-09,,,,92.0,100.0,,,,62.0,,11.0,,
2016-10-16,,,,94.0,100.0,,,,70.0,,15.0,,
2016-10-23,,,,96.0,,,,,,,24.0,,
2016-10-30,,,,98.0,,,,,,,38.0,,
2016-11-06,,,,99.0,,,,,,,50.0,,
2016-11-13,,,,100.0,,,,,,,62.0,,
2016-11-20,,,,100.0,,,,,,,,,
2017-04-09,,,,,,10.0,,,,,,,
2017-04-16,,,,,,32.0,,,,,,,
2017-04-23,,,12.0,,,63.0,,,,,,1.0,
2017-04-30,,,54.0,,,79.0,,,,,,5.0,
2017-05-07,,,78.0,,,88.0,,,,,,8.0,
2017-05-14,,,86.0,,,93.0,,,,7.0,,19.0,
