Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting,Spring Wheat - Emerged,Spring Wheat - Harvested,Spring Wheat - Headed,Spring Wheat - Planted
2016-04-10,,,,,,,,,,,,,,,,,5.0
2016-04-17,,,,,,1.0,,,,,,,,,,,14.0
2016-04-24,,,,,,6.0,,,,,,,,5.0,,,26.0
2016-05-01,,,1.0,,,16.0,,,,,,2.0,,10.0,,,39.0
2016-05-08,,,4.0,,,51.0,,,,,,25.0,,27.0,,,69.0
2016-05-15,,,22.0,,,76.0,,,,6.0,,52.0,,52.0,,,87.0
2016-05-22,,,49.0,,,91.0,,,,21.0,,81.0,,75.0,,,94.0
2016-05-29,,,76.0,,,96.0,,,,53.0,,92.0,,86.0,,,
2016-06-05,,,88.0,,,98.0,,,,75.0,,97.0,,95.0,,,
2016-06-12,,,97.0,,,,,,,89.0,,99.0,,,,,
2016-06-19,,,,,,,,,,96.0,,100.0,,,,25.0,
2016-06-26,,,,,,,13.0,19.0,,99.0,,,,,,60.0,
2016-07-03,,,,,,,21.0,37.0,,,,,,,,81.0,
2016-07-10,,,,,,,17.0,50.0,,,,,6.0,,,96.0,
2016-07-17,,,,,,,25.0,67.0,,,,,19.0,,,98.0,
2016-07-24,,,,,,,45.0,81.0,,,,,36.0,,,,
2016-07-31,,2.0,,,,,70.0,91.0,,,,,60.0,,4.0,,
2016-08-07,2.0,22.0,,,,,89.0,96.0,,,,,78.0,,22.0,,
2016-08-14,6.0,49.0,,,,,,99.0,,,,,86.0,,44.0,,
2016-08-21,19.0,71.0,,,,,,,,,,,94.0,,64.0,,
2016-08-28,41.0,84.0,,,1.0,,,,13.0,,,,98.0,,82.0,,
2016-09-04,64.0,94.0,,,8.0,,,,29.0,,,,100.0,,91.0,,
2016-09-11,77.0,,,1.0,23.0,,,,53.0,,,,,,95.0,,
2016-09-18,88.0,,,2.0,40.0,,,,74.0,,2.0,,,,98.0,,
