Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-24,,,,,,8.0,,,,,,,
2016-05-01,,,1.0,,,27.0,,,,,,5.0,
2016-05-08,,,12.0,,,30.0,,,,,,8.0,
2016-05-15,,,21.0,,,34.0,,,,3.0,,10.0,
2016-05-22,,,28.0,,,51.0,,,,9.0,,22.0,
2016-05-29,,,44.0,,,84.0,,,,22.0,,63.0,
2016-06-05,,,75.0,,,96.0,,,,56.0,,86.0,
2016-06-12,,,92.0,,,,,,,79.0,,94.0,
2016-06-19,,,,,,,,,,90.0,,97.0,
2016-06-26,,,,,,,,1.0,,96.0,,,
2016-07-03,,,,,,,2.0,14.0,,,,,
2016-07-10,,,,,,,7.0,25.0,,,,,
2016-07-17,,,,,,,31.0,49.0,,,,,8.0
2016-07-24,,1.0,,,,,58.0,70.0,,,,,19.0
2016-07-31,,14.0,,,,,80.0,84.0,,,,,40.0
2016-08-07,1.0,41.0,,,,,91.0,93.0,,,,,66.0
2016-08-14,13.0,59.0,,,,,,96.0,,,,,80.0
2016-08-21,26.0,77.0,,,,,,,,,,,92.0
2016-08-28,44.0,86.0,,,4.0,,,,4.0,,,,95.0
2016-09-04,60.0,91.0,,,12.0,,,,9.0,,,,100.0
2016-09-11,78.0,,,,27.0,,,,25.0,,,,
2016-09-18,89.0,,,3.0,39.0,,,,48.0,,1.0,,
2016-09-25,96.0,,,8.0,57.0,,,,76.0,,6.0,,
2016-10-02,,,,13.0,71.0,,,,88.0,,12.0,,
2016-10-09,,,,23.0,84.0,,,,95.0,,31.0,,
2016-10-16,,,,36.0,92.0,,,,99.0,,62.0,,
2016-10-23,,,,49.0,,,,,,,79.0,,
2016-10-30,,,,65.0,,,,,,,88.0,,
2016-11-06,,,,81.0,,,,,,,95.0,,
2016-11-13,,,,90.0,,,,,,,99.0,,
2016-11-20,,,,95.0,,,,,,,,,
2017-04-23,,,,,,9.0,,,,,,1.0,
2017-04-30,,,5.0,,,42.0,,,,,,14.0,
2017-05-07,,,12.0,,,46.0,,,,,,16.0,
2017-05-14,,,24.0,,,49.0,,,,5.0,,19.0,
2017-05-21,,,41.0,,,73.0,,,,17.0,,43.0,
2017-05-28,,,62.0,,,82.0,,,,35.0,,54.0,
2017-06-04,,,79.0,,,91.0,,,,52.0,,74.0,
2017-06-11,,,88.0,,,,,,,71.0,,90.0,
2017-06-18,,,96.0,,,,,,,85.0,,96.0,
2017-06-25,,,,,,,1.0,1.0,,96.0,,,
2017-07-02,,,,,,,3.0,9.0,,100.0,,,
2017-07-09,,,,,,,10.0,25.0,,,,,1.0
2017-07-16,,,,,,,34.0,40.0,,,,,9.0
2017-07-23,,2.0,,,,,60.0,61.0,,,,,21.0
2017-07-30,,16.0,,,,,79.0,77.0,,,,,41.0
2017-08-06,1.0,36.0,,,,,90.0,83.0,,,,,57.0
2017-08-13,6.0,55.0,,,,,95.0,91.0,,,,,73.0
2017-08-20,16.0,70.0,,,,,,95.0,,,,,83.0
2017-08-27,35.0,85.0,,,1.0,,,,1.0,,,,93.0
2017-09-03,54.0,91.0,,,7.0,,,,7.0,,,,97.0
2017-09-10,69.0,95.0,,,16.0,,,,19.0,,,,
2017-09-17,82.0,,,1.0,27.0,,,,34.0,,1.0,,
2017-09-24,90.0,,,3.0,39.0,,,,58.0,,5.0,,
2017-10-01,95.0,,,8.0,58.0,,,,80.0,,24.0,,
2017-10-08,,,,13.0,74.0,,,,91.0,,45.0,,
2017-10-15,,,,21.0,86.0,,,,95.0,,54.0,,
2017-10-22,,,,35.0,92.0,,,,97.0,,76.0,,
2017-10-29,,,,48.0,,,,,,,85.0,,
2017-11-05,,,,60.0,,,,,,,90.0,,
2017-11-12,,,,71.0,,,,,,,93.0,,
2017-11-19,,,,79.0,,,,,,,95.0,,
2017-11-26,,,,87.0,,,,,,,,,
2018-04-29,,,,,,1.0,,,,,,1.0,
2018-05-06,,,1.0,,,23.0,,,,,,8.0,
2018-05-13,,,16.0,,,55.0,,,,3.0,,31.0,
2018-05-20,,,45.0,,,71.0,,,,22.0,,50.0,
2018-05-27,,,66.0,,,82.0,,,,46.0,,67.0,
2018-06-03,,,79.0,,,90.0,,,,64.0,,81.0,
2018-06-10,,,89.0,,,,,,,79.0,,90.0,
2018-06-17,,,96.0,,,,,,,88.0,,95.0,
2018-06-24,,,,,,,,6.0,,94.0,,,
2018-07-01,,,,,,,5.0,22.0,,,,,
2018-07-08,,,,,,,30.0,44.0,,,,,2.0
2018-07-15,,,,,,,63.0,66.0,,,,,23.0
2018-07-22,,5.0,,,,,79.0,78.0,,,,,41.0
2018-07-29,,26.0,,,,,88.0,86.0,,,,,58.0
2018-08-05,3.0,48.0,,,,,94.0,90.0,,,,,73.0
2018-08-12,16.0,66.0,,,,,,95.0,,,,,84.0
2018-08-19,34.0,81.0,,,,,,,,,,,90.0
2018-08-26,54.0,89.0,,,3.0,,,,4.0,,,,95.0
2018-09-02,66.0,92.0,,,13.0,,,,15.0,,,,
2018-09-09,74.0,,,,26.0,,,,31.0,,,,
2018-09-16,83.0,,,2.0,41.0,,,,48.0,,1.0,,
2018-09-23,92.0,,,6.0,53.0,,,,68.0,,6.0,,
2018-09-30,,,,11.0,69.0,,,,82.0,,15.0,,
2018-10-07,,,,21.0,82.0,,,,91.0,,30.0,,
2018-10-14,,,,31.0,92.0,,,,95.0,,43.0,,
2018-10-21,,,,47.0,,,,,,,58.0,,
2018-10-28,,,,64.0,,,,,,,75.0,,
2018-11-04,,,,70.0,,,,,,,82.0,,
2018-11-11,,,,78.0,,,,,,,85.0,,
2018-11-18,,,,82.0,,,,,,,88.0,,
2018-11-25,,,,86.0,,,,,,,90.0,,
2019-04-21,,,,,,1.0,,,,,,,
2019-04-28,,,,,,2.0,,,,,,1.0,
2019-05-05,,,,,,2.0,,,,,,1.0,
2019-05-12,,,1.0,,,4.0,,,,,,2.0,
2019-05-19,,,3.0,,,9.0,,,,,,4.0,
2019-05-26,,,8.0,,,22.0,,,,4.0,,11.0,
2019-06-02,,,18.0,,,33.0,,,,9.0,,18.0,
2019-06-09,,,31.0,,,50.0,,,,17.0,,32.0,
2019-06-16,,,50.0,,,68.0,,,,29.0,,46.0,
2019-06-23,,,66.0,,,80.0,,,,45.0,,65.0,
2019-06-30,,,83.0,,,,,,,62.0,,81.0,
2019-07-07,,,92.0,,,,,5.0,,75.0,,88.0,
2019-07-14,,,,,,,6.0,12.0,,88.0,,,
2019-07-21,,,,,,,18.0,27.0,,,,,1.0
2019-07-28,,3.0,,,,,32.0,41.0,,,,,9.0
2019-08-04,,9.0,,,,,53.0,55.0,,,,,20.0
2019-08-11,,25.0,,,,,71.0,69.0,,,,,35.0
2019-08-18,3.0,37.0,,,,,83.0,81.0,,,,,54.0
2019-08-25,9.0,52.0,,,,,,89.0,,,,,70.0
2019-09-01,16.0,63.0,,,1.0,,,94.0,,,,,82.0
2019-09-08,29.0,75.0,,,4.0,,,,,,,,89.0
2019-09-15,44.0,81.0,,,8.0,,,,5.0,,,,93.0
2019-09-22,58.0,88.0,,2.0,17.0,,,,27.0,,,,
2019-09-29,70.0,,,5.0,27.0,,,,48.0,,6.0,,
2019-10-06,84.0,,,11.0,44.0,,,,68.0,,18.0,,
2019-10-13,90.0,,,16.0,57.0,,,,79.0,,36.0,,
2019-10-20,,,,26.0,72.0,,,,89.0,,55.0,,
2019-10-27,,,,37.0,82.0,,,,94.0,,70.0,,
2019-11-03,,,,49.0,90.0,,,,,,78.0,,
2019-11-10,,,,65.0,,,,,,,86.0,,
2019-11-17,,,,75.0,,,,,,,90.0,,
2019-11-24,,,,83.0,,,,,,,93.0,,
2019-12-01,,,,90.0,,,,,,,95.0,,
2019-12-08,,,,93.0,,,,,,,,,
2020-04-26,,,,,,3.0,,,,,,2.0,
2020-05-03,,,,,,10.0,,,,,,7.0,
2020-05-10,,,3.0,,,33.0,,,,2.0,,24.0,
2020-05-17,,,11.0,,,57.0,,,,6.0,,43.0,
2020-05-24,,,32.0,,,66.0,,,,20.0,,53.0,
2020-05-31,,,55.0,,,80.0,,,,42.0,,66.0,
2020-06-07,,,73.0,,,94.0,,,,57.0,,83.0,
2020-06-14,,,86.0,,,,,,,77.0,,93.0,
2020-06-21,,,,,,,,1.0,,85.0,,98.0,
2020-06-28,,,,,,,1.0,11.0,,95.0,,,
2020-07-05,,,,,,,2.0,27.0,,,,,
2020-07-12,,,,,,,9.0,48.0,,,,,4.0
2020-07-19,,,,,,,33.0,64.0,,,,,15.0
2020-07-26,,2.0,,,,,64.0,76.0,,,,,34.0
2020-08-02,,18.0,,,,,85.0,88.0,,,,,51.0
2020-08-09,1.0,39.0,,,,,94.0,92.0,,,,,67.0
2020-08-16,7.0,66.0,,,,,,97.0,,,,,84.0
2020-08-23,21.0,81.0,,,,,,,2.0,,,,93.0
2020-08-30,39.0,91.0,,,1.0,,,,8.0,,,,97.0
2020-09-06,57.0,95.0,,,5.0,,,,17.0,,,,
2020-09-13,77.0,,,,14.0,,,,33.0,,,,
2020-09-20,89.0,,,1.0,30.0,,,,54.0,,2.0,,
2020-09-27,,,,4.0,46.0,,,,75.0,,13.0,,
2020-10-04,,,,9.0,63.0,,,,85.0,,21.0,,
2020-10-11,,,,15.0,77.0,,,,93.0,,49.0,,
2020-10-18,,,,24.0,86.0,,,,97.0,,65.0,,
2020-10-25,,,,32.0,,,,,,,73.0,,
2020-11-01,,,,41.0,,,,,,,77.0,,
2020-11-08,,,,64.0,,,,,,,87.0,,
2020-11-15,,,,79.0,,,,,,,93.0,,
2021-04-11,,,,,,2.0,,,,,,,
2021-04-18,,,,,,4.0,,,,,,5.0,
2021-04-25,,,,,,8.0,,,,,,8.0,
2021-05-02,,,4.0,,,22.0,,,,,,17.0,
2021-05-09,,,9.0,,,27.0,,,,7.0,,20.0,
2021-05-16,,,17.0,,,39.0,,,,12.0,,29.0,
2021-05-23,,,38.0,,,76.0,,,,28.0,,66.0,
2021-05-30,,,70.0,,,92.0,,,,58.0,,84.0,
2021-06-06,,,83.0,,,,,,,74.0,,89.0,
