Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking
2016-04-10,,,,,,2.0,
2016-04-17,,,,,,4.0,
2016-04-24,,,,,,14.0,
2016-05-01,,,2.0,,,34.0,
2016-05-08,,,13.0,,,39.0,
2016-05-15,,,21.0,,,52.0,
2016-05-22,,,34.0,,,63.0,
2016-05-29,,,52.0,,,80.0,
2016-06-05,,,72.0,,,90.0,
2016-06-12,,,88.0,,,,
2016-07-03,,,,,,,1.0
2016-07-10,,,,,,,11.0
2016-07-17,,,,,,,31.0
2016-07-24,,2.0,,,,,57.0
2016-07-31,,17.0,,,,,81.0
2016-08-07,,37.0,,,,,91.0
2016-08-14,6.0,48.0,,,,,
2016-08-21,25.0,65.0,,,,,
2016-08-28,47.0,78.0,,,2.0,,
2016-09-04,63.0,89.0,,,11.0,,
2016-09-11,74.0,,,3.0,22.0,,
2016-09-18,85.0,,,8.0,40.0,,
2016-09-25,90.0,,,13.0,53.0,,
2016-10-02,,,,21.0,70.0,,
2016-10-09,,,,31.0,85.0,,
2016-10-16,,,,40.0,94.0,,
2016-10-23,,,,50.0,,,
2016-10-30,,,,66.0,,,
2016-11-06,,,,77.0,,,
2016-11-13,,,,87.0,,,
2016-11-20,,,,91.0,,,
2017-04-09,,,,,,1.0,
2017-04-16,,,,,,2.0,
2017-04-23,,,,,,6.0,
2017-04-30,,,2.0,,,9.0,
2017-05-07,,,9.0,,,26.0,
2017-05-14,,,20.0,,,35.0,
2017-05-21,,,30.0,,,59.0,
2017-05-28,,,53.0,,,75.0,
2017-06-04,,,68.0,,,82.0,
2017-06-11,,,80.0,,,,
2017-06-18,,,89.0,,,,
2017-07-02,,,,,,,2.0
2017-07-09,,,,,,,6.0
2017-07-16,,,,,,,23.0
2017-07-23,,,,,,,45.0
2017-07-30,,3.0,,,,,71.0
2017-08-06,,14.0,,,,,82.0
2017-08-13,1.0,28.0,,,,,89.0
2017-08-20,6.0,47.0,,,,,
2017-08-27,19.0,56.0,,,,,
2017-09-03,38.0,66.0,,,1.0,,
2017-09-10,57.0,79.0,,1.0,16.0,,
2017-09-17,74.0,,,4.0,34.0,,
2017-09-24,84.0,,,8.0,51.0,,
2017-10-01,87.0,,,13.0,65.0,,
2017-10-08,,,,24.0,76.0,,
2017-10-15,,,,30.0,84.0,,
2017-10-22,,,,41.0,89.0,,
2017-10-29,,,,51.0,,,
2017-11-05,,,,58.0,,,
2017-11-12,,,,69.0,,,
2017-11-19,,,,78.0,,,
2017-11-26,,,,86.0,,,
2018-04-29,,,,,,1.0,
2018-05-06,,,1.0,,,9.0,
2018-05-13,,,4.0,,,30.0,
2018-05-20,,,13.0,,,35.0,
2018-05-27,,,32.0,,,59.0,
2018-06-03,,,50.0,,,75.0,
2018-06-10,,,71.0,,,,
2018-06-17,,,83.0,,,,
2018-07-01,,,,,,,1.0
2018-07-08,,,,,,,13.0
2018-07-15,,,,,,,28.0
2018-07-22,,2.0,,,,,52.0
2018-07-29,,9.0,,,,,67.0
2018-08-05,1.0,32.0,,,,,85.0
2018-08-12,8.0,56.0,,,,,
2018-08-19,22.0,68.0,,,,,
2018-08-26,33.0,75.0,,,,,
2018-09-02,49.0,81.0,,,1.0,,
2018-09-09,66.0,,,1.0,14.0,,
2018-09-16,79.0,,,1.0,31.0,,
2018-09-23,89.0,,,3.0,55.0,,
2018-09-30,,,,9.0,69.0,,
2018-10-07,,,,21.0,82.0,,
2018-10-14,,,,26.0,91.0,,
2018-10-21,,,,37.0,,,
2018-10-28,,,,50.0,,,
2018-11-04,,,,60.0,,,
2018-11-11,,,,69.0,,,
2018-11-18,,,,76.0,,,
2018-11-25,,,,82.0,,,
2019-04-28,,,,,,5.0,
2019-05-05,,,1.0,,,17.0,
2019-05-12,,,3.0,,,26.0,
2019-05-19,,,18.0,,,42.0,
2019-05-26,,,42.0,,,66.0,
2019-06-02,,,59.0,,,74.0,
2019-06-09,,,74.0,,,89.0,
2019-06-16,,,86.0,,,94.0,
2019-06-23,,,91.0,,,96.0,
2019-06-30,,,94.0,,,,
2019-07-07,,,95.0,,,,1.0
2019-07-14,,,,,,,30.0
2019-07-21,,,,,,,55.0
2019-07-28,,2.0,,,,,70.0
2019-08-04,,8.0,,,,,78.0
2019-08-11,1.0,33.0,,,,,81.0
2019-08-18,20.0,47.0,,,,,85.0
2019-08-25,34.0,62.0,,,,,
2019-09-01,44.0,70.0,,,4.0,,
2019-09-08,65.0,79.0,,,19.0,,
2019-09-15,74.0,84.0,,6.0,32.0,,
2019-09-22,81.0,89.0,,12.0,50.0,,
2019-09-29,87.0,,,23.0,62.0,,
2019-10-06,90.0,,,36.0,71.0,,
2019-10-13,93.0,,,38.0,81.0,,
2019-10-20,,,,44.0,85.0,,
2019-10-27,,,,53.0,89.0,,
2019-11-03,,,,58.0,90.0,,
2019-11-10,,,,65.0,,,
2019-11-17,,,,72.0,,,
2019-11-24,,,,80.0,,,
2019-12-01,,,,86.0,,,
2019-12-08,,,,91.0,,,
2020-05-03,,,,,,1.0,
2020-05-10,,,,,,5.0,
2020-05-17,,,1.0,,,15.0,
2020-05-24,,,10.0,,,47.0,
2020-05-31,,,36.0,,,80.0,
2020-06-07,,,60.0,,,91.0,
2020-06-14,,,82.0,,,,
2020-07-12,,,,,,,2.0
2020-07-19,,1.0,,,,,22.0
2020-07-26,,4.0,,,,,51.0
2020-08-02,,12.0,,,,,63.0
2020-08-09,1.0,26.0,,,,,74.0
2020-08-16,3.0,44.0,,,,,
2020-08-23,13.0,57.0,,,,,
2020-08-30,30.0,66.0,,,1.0,,
2020-09-06,51.0,89.0,,,7.0,,
2020-09-13,68.0,,,,17.0,,
2020-09-20,91.0,,,1.0,35.0,,
2020-09-27,,,,6.0,65.0,,
2020-10-04,,,,13.0,79.0,,
2020-10-11,,,,23.0,91.0,,
2020-10-18,,,,33.0,95.0,,
2020-10-25,,,,48.0,,,
2020-11-01,,,,58.0,,,
2020-11-08,,,,72.0,,,
2020-11-15,,,,80.0,,,
2021-04-25,,,,,,1.0,
2021-05-02,,,,,,17.0,
2021-05-09,,,1.0,,,33.0,
2021-05-16,,,12.0,,,51.0,
2021-05-23,,,29.0,,,77.0,
2021-05-30,,,50.0,,,85.0,
2021-06-06,,,68.0,,,,
2021-06-13,,,81.0,,,,
2021-07-11,,,,,,,2.0
2021-07-18,,,,,,,9.0
2021-07-25,,2.0,,,,,36.0
2021-08-01,,5.0,,,,,57.0
2021-08-08,,12.0,,,,,72.0
2021-08-15,,37.0,,,,,
2021-08-22,4.0,45.0,,,,,
2021-08-29,20.0,70.0,,,1.0,,
2021-09-05,41.0,80.0,,,1.0,,
2021-09-12,52.0,,,,3.0,,
2021-09-19,72.0,,,1.0,8.0,,
2021-09-26,86.0,,,2.0,30.0,,
2021-10-03,,,,7.0,68.0,,
2021-10-10,,,,14.0,79.0,,
2021-10-17,,,,23.0,89.0,,
2021-10-24,,,,37.0,,,
2021-10-31,,,,58.0,,,
2021-11-07,,,,68.0,,,
2021-11-14,,,,81.0,,,
2021-11-21,,,,86.0,,,
2022-04-10,,,,,,2.0,
2022-04-17,,,,,,2.0,
2022-04-24,,,,,,2.0,
2022-05-01,,,,,,5.0,
2022-05-08,,,,,,13.0,
2022-05-15,,,,,,33.0,
2022-05-22,,,6.0,,,43.0,
2022-05-29,,,23.0,,,63.0,
2022-06-05,,,51.0,,,79.0,
2022-06-12,,,63.0,,,89.0,
2022-06-19,,,70.0,,,,
2022-07-10,,,,,,,2.0
2022-07-17,,,,,,,12.0
2022-07-24,,1.0,,,,,30.0
2022-07-31,,8.0,,,,,52.0
2022-08-07,1.0,30.0,,,,,72.0
2022-08-14,2.0,38.0,,,,,79.0
2022-08-21,11.0,62.0,,,,,88.0
2022-08-28,22.0,68.0,,,1.0,,
2022-09-04,40.0,75.0,,,2.0,,
2022-09-11,58.0,85.0,,,4.0,,
2022-09-18,75.0,,,,10.0,,
2022-09-25,85.0,,,,26.0,,
2022-10-02,92.0,,,2.0,55.0,,
2022-10-09,,,,9.0,70.0,,
2022-10-16,,,,17.0,80.0,,
2022-10-23,,,,20.0,90.0,,
2022-10-30,,,,46.0,,,
2022-11-06,,,,55.0,,,
2022-11-13,,,,65.0,,,
2022-11-20,,,,80.0,,,
2023-04-23,,,,,,9.0,
2023-04-30,,,1.0,,,14.0,
2023-05-07,,,2.0,,,17.0,
2023-05-14,,,6.0,,,39.0,
2023-05-21,,,31.0,,,64.0,
2023-05-28,,,55.0,,,77.0,
2023-06-04,,,73.0,,,83.0,
2023-06-11,,,79.0,,,,
2023-06-18,,,83.0,,,,
2023-07-16,,,,,,,4.0
2023-07-23,,,,,,,11.0
2023-07-30,,1.0,,,,,40.0
2023-08-06,,4.0,,,,,65.0
2023-08-13,,7.0,,,,,80.0
2023-08-20,1.0,23.0,,,,,
2023-08-27,15.0,49.0,,,,,
2023-09-03,28.0,54.0,,,,,
2023-09-10,48.0,70.0,,,4.0,,
2023-09-17,53.0,,,,11.0,,
2023-09-24,73.0,,,4.0,27.0,,
