Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-10,,,,,,17.0,,,,,,,
2016-04-17,,,,,,35.0,,,,,,,
2016-04-24,,,15.0,,,65.0,,,,,,2.0,
2016-05-01,,,45.0,,,80.0,,,,,,12.0,
2016-05-08,,,69.0,,,89.0,,,,,,22.0,
2016-05-15,,,81.0,,,94.0,,,,7.0,,35.0,
2016-05-22,,,89.0,,,97.0,,,,21.0,,50.0,
2016-05-29,,,94.0,,,98.0,,,,37.0,,59.0,
2016-06-05,,,96.0,,,99.0,,,,49.0,,67.0,
2016-06-12,,,99.0,,,,,,,60.0,,74.0,
2016-06-19,,,,,,,,,,70.0,,85.0,
2016-06-26,,,,,,,24.0,6.0,,78.0,,,
2016-07-03,,,,,,,55.0,15.0,,,,,
2016-07-10,,,,,,,81.0,35.0,,,,,10.0
2016-07-17,,,,,,,91.0,55.0,,,,,28.0
2016-07-24,,60.0,,,,,94.0,73.0,,,,,40.0
2016-07-31,,79.0,,,,,97.0,81.0,,,,,55.0
2016-08-07,50.0,88.0,,,,,98.0,89.0,,,,,68.0
2016-08-14,65.0,94.0,,,,,,94.0,,,,,80.0
2016-08-21,81.0,97.0,,,,,,,,,,,87.0
2016-08-28,90.0,99.0,,,43.0,,,,3.0,,,,91.0
2016-09-04,96.0,100.0,,,72.0,,,,14.0,,,,95.0
2016-09-11,98.0,,,38.0,85.0,,,,36.0,,,,
2016-09-18,99.0,,,61.0,93.0,,,,54.0,,5.0,,
2016-09-25,100.0,,,79.0,98.0,,,,68.0,,14.0,,
2016-10-02,,,,89.0,99.0,,,,83.0,,29.0,,
2016-10-09,,,,94.0,99.0,,,,91.0,,44.0,,
2016-10-16,,,,97.0,100.0,,,,95.0,,62.0,,
2016-10-23,,,,98.0,,,,,,,75.0,,
2016-10-30,,,,99.0,,,,,,,86.0,,
2016-11-06,,,,100.0,,,,,,,91.0,,
2016-11-13,,,,100.0,,,,,,,95.0,,
2016-11-20,,,,100.0,,,,,,,,,
2017-04-09,,,,,,7.0,,,,,,,
2017-04-16,,,,,,24.0,,,,,,,
2017-04-23,,,21.0,,,45.0,,,,,,4.0,
