Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking
2016-04-10,,,,,,46.0,
2016-04-17,,,,,,49.0,
2016-04-24,,,43.0,,,52.0,
2016-05-01,,,47.0,,,66.0,
2016-05-08,,,57.0,,,69.0,
2016-05-15,,,64.0,,,78.0,
2016-05-22,,,65.0,,,79.0,
2016-05-29,,,78.0,,,93.0,
2016-06-05,,,90.0,,,96.0,
2016-06-12,,,93.0,,,,
2016-06-26,,,,,,,46.0
2016-07-03,,,,,,,53.0
2016-07-10,,,,,,,67.0
2016-07-17,,,,,,,74.0
2016-07-24,,58.0,,,,,92.0
2016-07-31,,68.0,,,,,96.0
2016-08-07,57.0,87.0,,,,,98.0
2016-08-14,60.0,91.0,,,,,
2016-08-21,70.0,96.0,,,,,
2016-08-28,74.0,100.0,,,65.0,,
2016-09-04,82.0,100.0,,,66.0,,
2016-09-11,83.0,,,58.0,67.0,,
2016-09-18,93.0,,,63.0,75.0,,
2016-09-25,94.0,,,64.0,76.0,,
2016-10-02,,,,75.0,86.0,,
2016-10-09,,,,76.0,90.0,,
2016-10-16,,,,80.0,95.0,,
2016-10-23,,,,85.0,,,
2016-10-30,,,,90.0,,,
2016-11-06,,,,95.0,,,
2016-11-13,,,,97.0,,,
2016-11-20,,,,98.0,,,
2017-04-09,,,,,,59.0,
2017-04-16,,,,,,60.0,
2017-04-23,,,60.0,,,68.0,
2017-04-30,,,64.0,,,71.0,
2017-05-07,,,67.0,,,77.0,
2017-05-14,,,72.0,,,80.0,
2017-05-21,,,76.0,,,87.0,
2017-05-28,,,86.0,,,96.0,
2017-06-04,,,89.0,,,98.0,
2017-06-11,,,96.0,,,,
2017-06-18,,,98.0,,,,
2017-06-25,,,,,,,56.0
2017-07-02,,,,,,,63.0
2017-07-09,,,,,,,65.0
2017-07-16,,,,,,,70.0
2017-07-23,,57.0,,,,,74.0
2017-07-30,,62.0,,,,,95.0
2017-08-06,58.0,65.0,,,,,99.0
2017-08-13,62.0,71.0,,,,,100.0
2017-08-20,77.0,92.0,,,,,
2017-08-27,82.0,95.0,,,63.0,,
2017-09-03,87.0,97.0,,,66.0,,
2017-09-10,88.0,100.0,,60.0,67.0,,
2017-09-17,92.0,,,67.0,74.0,,
2017-09-24,95.0,,,68.0,83.0,,
2017-10-01,100.0,,,75.0,89.0,,
2017-10-08,,,,76.0,91.0,,
2017-10-15,,,,80.0,95.0,,
2017-10-22,,,,83.0,98.0,,
2017-10-29,,,,88.0,,,
2017-11-05,,,,92.0,,,
2017-11-12,,,,95.0,,,
2017-11-19,,,,97.0,,,
2017-11-26,,,,99.0,,,
2018-04-08,,,,,,58.0,
2018-04-15,,,,,,60.0,
2018-04-22,,,,,,65.0,
2018-04-29,,,50.0,,,70.0,
2018-05-06,,,55.0,,,81.0,
2018-05-13,,,70.0,,,82.0,
2018-05-20,,,81.0,,,88.0,
2018-05-27,,,83.0,,,90.0,
2018-06-03,,,91.0,,,96.0,
2018-06-10,,,95.0,,,,
2018-06-17,,,96.0,,,,
2018-06-24,,,,,,,57.0
2018-07-01,,,,,,,59.0
2018-07-08,,,,,,,68.0
2018-07-15,,,,,,,76.0
2018-07-22,,65.0,,,,,85.0
2018-07-29,,71.0,,,,,89.0
2018-08-05,70.0,86.0,,,,,92.0
2018-08-12,79.0,91.0,,,,,
2018-08-19,82.0,93.0,,,,,
2018-08-26,88.0,95.0,,,61.0,,
2018-09-02,90.0,97.0,,,68.0,,
2018-09-09,92.0,,,63.0,72.0,,
2018-09-16,95.0,,,66.0,80.0,,
2018-09-23,97.0,,,67.0,81.0,,
2018-09-30,,,,70.0,85.0,,
2018-10-07,,,,72.0,87.0,,
2018-10-14,,,,76.0,91.0,,
2018-10-21,,,,79.0,,,
2018-10-28,,,,85.0,,,
2018-11-04,,,,90.0,,,
2018-11-11,,,,94.0,,,
2018-11-18,,,,95.0,,,
2018-11-25,,,,98.0,,,
2019-04-07,,,,,,53.0,
2019-04-14,,,,,,57.0,
2019-04-21,,,,,,59.0,
2019-04-28,,,55.0,,,65.0,
2019-05-05,,,61.0,,,70.0,
2019-05-12,,,64.0,,,75.0,
2019-05-19,,,75.0,,,92.0,
2019-05-26,,,81.0,,,93.0,
2019-06-02,,,85.0,,,96.0,
2019-06-09,,,86.0,,,100.0,
2019-06-16,,,90.0,,,100.0,
2019-06-23,,,94.0,,,100.0,
2019-06-30,,,99.0,,,,
2019-07-07,,,100.0,,,,73.0
2019-07-14,,,,,,,75.0
2019-07-21,,58.0,,,,,81.0
2019-07-28,,65.0,,,,,89.0
2019-08-04,,74.0,,,,,95.0
2019-08-11,74.0,83.0,,,,,100.0
2019-08-18,80.0,91.0,,,,,100.0
2019-08-25,86.0,94.0,,,,,
2019-09-01,89.0,96.0,,,52.0,,
2019-09-08,94.0,100.0,,,58.0,,
2019-09-15,97.0,100.0,,59.0,67.0,,
2019-09-22,100.0,100.0,,65.0,77.0,,
2019-09-29,100.0,,,72.0,79.0,,
2019-10-06,100.0,,,74.0,84.0,,
2019-10-13,100.0,,,77.0,91.0,,
2019-10-20,,,,82.0,96.0,,
2019-10-27,,,,85.0,100.0,,
2019-11-03,,,,88.0,100.0,,
2019-11-10,,,,92.0,,,
2019-11-17,,,,95.0,,,
2019-11-24,,,,98.0,,,
