Date,Spring Wheat - Emerged,Spring Wheat - Harvested,Spring Wheat - Headed,Spring Wheat - Planted
2016-04-10,,,,42.0
2016-04-17,,,,63.0
2016-04-24,41.0,,,72.0
2016-05-01,56.0,,,83.0
2016-05-08,75.0,,,88.0
2016-05-15,90.0,,,97.0
2016-05-22,93.0,,,100.0
2016-05-29,96.0,,,
2016-06-05,99.0,,,
2016-06-19,,,68.0,
2016-06-26,,,84.0,
2016-07-03,,,90.0,
2016-07-10,,,95.0,
2016-07-17,,,100.0,
2016-07-31,,14.0,,
2016-08-07,,30.0,,
2016-08-14,,44.0,,
2016-08-21,,66.0,,
2016-08-28,,78.0,,
2016-09-04,,91.0,,
2016-09-11,,96.0,,
2016-09-18,,100.0,,
2017-04-09,,,,11.0
2017-04-16,,,,20.0
2017-04-23,1.0,,,38.0
2017-04-30,11.0,,,49.0
2017-05-07,46.0,,,72.0
2017-05-14,55.0,,,81.0
2017-05-21,80.0,,,95.0
2017-05-28,81.0,,,100.0
2017-06-04,87.0,,,
2017-06-11,95.0,,,
2017-06-18,,,28.0,
2017-06-25,,,63.0,
2017-07-02,,,83.0,
2017-07-09,,,91.0,
2017-07-16,,,93.0,
2017-07-23,,,97.0,
2017-07-30,,5.0,,
2017-08-06,,17.0,,
2017-08-13,,43.0,,
2017-08-20,,62.0,,
2017-08-27,,77.0,,
2017-09-03,,88.0,,
2017-09-10,,93.0,,
2018-04-08,,,,27.0
2018-04-15,,,,37.0
2018-04-22,,,,39.0
2018-04-29,,,,78.0
2018-05-06,49.0,,,83.0
2018-05-13,65.0,,,94.0
2018-05-20,75.0,,,96.0
2018-05-27,91.0,,,97.0
2018-06-03,93.0,,,100.0
2018-06-10,96.0,,,
2018-06-17,98.0,,45.0,
2018-06-24,,,81.0,
2018-07-01,,,88.0,
2018-07-08,,,96.0,
2018-07-15,,,100.0,
2018-07-22,,,100.0,
2018-07-29,,6.0,,
2018-08-05,,16.0,,
2018-08-12,,35.0,,
2018-08-19,,46.0,,
2018-08-26,,71.0,,
2018-09-02,,88.0,,
2018-09-09,,90.0,,
2018-09-16,,96.0,,
2019-04-07,,,,11.0
2019-04-14,,,,17.0
2019-04-21,,,,27.0
2019-04-28,,,,52.0
2019-05-05,34.0,,,72.0
2019-05-12,63.0,,,81.0
2019-05-19,69.0,,,87.0
2019-05-26,77.0,,,96.0
2019-06-02,86.0,,,99.0
2019-06-09,92.0,,,100.0
2019-06-16,98.0,,13.0,
2019-06-23,,,64.0,
2019-06-30,,,79.0,
2019-07-07,,,89.0,
2019-07-14,,,95.0,
2019-07-21,,,100.0,
2019-07-28,,,100.0,
2019-08-04,,10.0,,
2019-08-11,,18.0,,
2019-08-18,,25.0,,
2019-08-25,,47.0,,
2019-09-01,,61.0,,
2019-09-08,,74.0,,
2019-09-15,,87.0,,
2019-09-22,,91.0,,
2019-09-29,,93.0,,
2019-10-06,,95.0,,
2019-10-13,,97.0,,
2019-10-20,,99.0,,
2020-04-12,,,,57.0
2020-04-19,,,,78.0
2020-04-26,60.0,,,88.0
2020-05-03,78.0,,,92.0
2020-05-10,80.0,,,96.0
2020-05-17,82.0,,,98.0
2020-05-24,87.0,,,99.0
2020-05-31,90.0,,,100.0
2020-06-07,95.0,,,100.0
2020-06-14,97.0,,29.0,
2020-06-21,,,59.0,
2020-06-28,,,73.0,
2020-07-05,,,83.0,
2020-07-12,,,89.0,
2020-07-19,,,95.0,
2020-07-26,,7.0,100.0,
2020-08-02,,9.0,,
2020-08-09,,17.0,,
2020-08-16,,36.0,,
2020-08-23,,48.0,,
2020-08-30,,62.0,,
2020-09-06,,83.0,,
2020-09-13,,87.0,,
2020-09-20,,94.0,,
2021-04-04,,,,14.0
2021-04-11,,,,50.0
2021-04-18,,,,71.0
2021-04-25,55.0,,,80.0
2021-05-02,63.0,,,86.0
2021-05-09,65.0,,,88.0
2021-05-16,84.0,,,99.0
2021-05-23,86.0,,,100.0
2021-05-30,93.0,,,100.0
2021-06-06,98.0,,,
2021-06-13,99.0,,23.0,
2021-06-20,,,54.0,
2021-06-27,,,88.0,
2021-07-04,,,98.0,
2021-07-11,,,100.0,
2021-07-18,,,100.0,
2021-07-25,,12.0,100.0,
2021-08-01,,40.0,,
2021-08-08,,57.0,,
2021-08-15,,62.0,,
2021-08-22,,87.0,,
2021-08-29,,95.0,,
2021-09-05,,96.0,,
2022-04-03,,,,27.0
2022-04-10,,,,32.0
2022-04-17,,,,40.0
2022-04-24,24.0,,,73.0
2022-05-01,40.0,,,75.0
2022-05-08,49.0,,,86.0
2022-05-15,58.0,,,91.0
2022-05-22,66.0,,,96.0
2022-05-29,79.0,,,100.0
2022-06-05,89.0,,,100.0
2022-06-12,94.0,,,100.0
2022-06-19,99.0,,,100.0
2022-06-26,100.0,,36.0,
2022-07-03,,,57.0,
2022-07-10,,,74.0,
2022-07-17,,,89.0,
2022-07-24,,,96.0,
2022-07-31,,,98.0,
2022-08-07,,6.0,,
2022-08-14,,14.0,,
2022-08-21,,40.0,,
2022-08-28,,61.0,,
2022-09-04,,77.0,,
2022-09-11,,92.0,,
2022-09-18,,98.0,,
2022-09-25,,99.0,,
2023-04-09,,,,11.0
2023-04-16,,,,27.0
2023-04-23,10.0,,,48.0
2023-04-30,38.0,,,74.0
2023-05-07,52.0,,,89.0
2023-05-14,72.0,,,95.0
2023-05-21,89.0,,,98.0
2023-05-28,94.0,,,100.0
2023-06-04,99.0,,,100.0
2023-06-11,100.0,,,100.0
2023-06-18,100.0,,41.0,
2023-06-25,,,64.0,
2023-07-02,,,90.0,
2023-07-09,,,98.0,
2023-07-16,,,100.0,
2023-07-23,,,100.0,
2023-07-30,,12.0,100.0,
2023-08-06,,19.0,,
2023-08-13,,30.0,,
2023-08-20,,53.0,,
2023-08-27,,78.0,,
2023-09-03,,83.0,,
2023-09-10,,95.0,,
2023-09-17,,98.0,,
2023-09-24,,99.0,,
2024-03-31,,,,10.0
2024-04-07,,,,21.0
2024-04-14,,,,42.0
2024-04-21,18.0,,,60.0
2024-04-28,38.0,,,76.0
2024-05-05,54.0,,,90.0
2024-05-12,77.0,,,98.0
2024-05-19,95.0,,,99.0
2024-05-26,97.0,,,100.0
2024-06-02,100.0,,,100.0
2024-06-09,100.0,,,100.0
2024-06-16,100.0,,31.0,
2024-06-23,,,46.0,
2024-06-30,,,71.0,
2024-07-07,,,84.0,
2024-07-14,,,98.0,
2024-07-21,,,100.0,
2024-07-28,,5.0,100.0,
2024-08-04,,21.0,100.0,
2024-08-11,,32.0,,
2024-08-18,,52.0,,
2024-08-25,,75.0,,
2024-09-01,,86.0,,
2024-09-08,,96.0,,
2024-09-15,,100.0,,
2024-09-22,,100.0,,
2025-04-06,,,,12.0
2025-04-13,,,,28.0
2025-04-20,12.0,,,57.0
2025-04-27,32.0,,,79.0
2025-05-04,55.0,,,87.0
2025-05-11,78.0,,,93.0
2025-05-18,89.0,,,97.0
2025-05-25,97.0,,,100.0
2025-06-01,99.0,,,100.0
2025-06-08,100.0,,,
2025-06-15,100.0,,39.0,
2025-06-22,100.0,,65.0,
2025-06-29,100.0,,83.0,
2025-07-06,,,95.0,
2025-07-13,,,97.0,
2025-07-20,,,100.0,
2025-07-27,,11.0,100.0,
2025-08-03,,24.0,100.0,
2025-08-10,,30.0,,
2025-08-17,,45.0,,
2025-08-24,,74.0,,
2025-08-31,,90.0,,
2025-09-07,,95.0,,
2025-09-14,,97.0,,
2025-09-21,,98.0,,
