Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2016-04-17,,,,,,1.0,,,,,,,
2016-04-24,,,,,,10.0,,,,,,1.0,
2016-05-01,,,1.0,,,22.0,,,,,,2.0,
2016-05-08,,,6.0,,,56.0,,,,,,18.0,
2016-05-15,,,17.0,,,76.0,,,,1.0,,33.0,
2016-05-22,,,42.0,,,91.0,,,,13.0,,66.0,
2016-05-29,,,75.0,,,97.0,,,,51.0,,85.0,
2016-06-05,,,90.0,,,100.0,,,,74.0,,95.0,
2016-06-12,,,96.0,,,,,,,88.0,,98.0,
2016-06-19,,,,,,,,,,97.0,,99.0,
2016-06-26,,,,,,,,6.0,,99.0,,,
2016-07-03,,,,,,,,24.0,,,,,
2016-07-10,,,,,,,4.0,45.0,,,,,5.0
2016-07-17,,,,,,,33.0,70.0,,,,,23.0
2016-07-24,,1.0,,,,,64.0,86.0,,,,,44.0
2016-07-31,,10.0,,,,,88.0,93.0,,,,,69.0
2016-08-07,3.0,34.0,,,,,96.0,97.0,,,,,82.0
2016-08-14,7.0,51.0,,,,,,99.0,,,,,90.0
2016-08-21,25.0,72.0,,,,,,,,,,,94.0
2016-08-28,50.0,85.0,,,3.0,,,,2.0,,,,98.0
2016-09-04,71.0,91.0,,,13.0,,,,5.0,,,,100.0
2016-09-11,81.0,,,,29.0,,,,25.0,,,,
2016-09-18,90.0,,,1.0,49.0,,,,50.0,,,,
2016-09-25,95.0,,,2.0,66.0,,,,73.0,,1.0,,
2016-10-02,,,,6.0,80.0,,,,88.0,,8.0,,
2016-10-09,,,,13.0,90.0,,,,96.0,,23.0,,
2016-10-16,,,,24.0,96.0,,,,99.0,,47.0,,
2016-10-23,,,,38.0,,,,,,,71.0,,
2016-10-30,,,,52.0,,,,,,,86.0,,
2016-11-06,,,,68.0,,,,,,,93.0,,
2016-11-13,,,,83.0,,,,,,,97.0,,
2016-11-20,,,,92.0,,,,,,,,,
2017-04-23,,,,,,1.0,,,,,,,
2017-04-30,,,,,,5.0,,,,,,,
2017-05-07,,,,,,15.0,,,,,,2.0,
2017-05-14,,,3.0,,,48.0,,,,,,15.0,
2017-05-21,,,21.0,,,65.0,,,,3.0,,29.0,
2017-05-28,,,47.0,,,77.0,,,,12.0,,45.0,
2017-06-04,,,68.0,,,91.0,,,,34.0,,73.0,
2017-06-11,,,84.0,,,,,,,63.0,,89.0,
2017-06-18,,,94.0,,,,,,,84.0,,96.0,
2017-06-25,,,,,,,,,,94.0,,,
2017-07-02,,,,,,,,10.0,,98.0,,,
2017-07-09,,,,,,,,22.0,,,,,
2017-07-16,,,,,,,5.0,36.0,,,,,5.0
2017-07-23,,,,,,,34.0,59.0,,,,,22.0
2017-07-30,,4.0,,,,,58.0,73.0,,,,,39.0
2017-08-06,,17.0,,,,,80.0,87.0,,,,,61.0
2017-08-13,2.0,34.0,,,,,91.0,92.0,,,,,77.0
2017-08-20,5.0,51.0,,,,,,96.0,,,,,87.0
2017-08-27,17.0,68.0,,,,,,,,,,,91.0
2017-09-03,33.0,79.0,,,2.0,,,,,,,,95.0
2017-09-10,48.0,86.0,,,4.0,,,,3.0,,,,
2017-09-17,67.0,,,,10.0,,,,19.0,,,,
2017-09-24,80.0,,,,23.0,,,,46.0,,2.0,,
2017-10-01,88.0,,,2.0,41.0,,,,71.0,,16.0,,
2017-10-08,,,,5.0,58.0,,,,86.0,,32.0,,
2017-10-15,,,,9.0,70.0,,,,92.0,,44.0,,
2017-10-22,,,,15.0,82.0,,,,96.0,,64.0,,
2017-10-29,,,,25.0,,,,,,,80.0,,
2017-11-05,,,,37.0,,,,,,,86.0,,
2017-11-12,,,,56.0,,,,,,,92.0,,
2017-11-19,,,,69.0,,,,,,,94.0,,
2017-11-26,,,,81.0,,,,,,,,,
2018-04-29,,,,,,3.0,,,,,,1.0,
2018-05-06,,,,,,15.0,,,,,,5.0,
2018-05-13,,,8.0,,,30.0,,,,2.0,,13.0,
2018-05-20,,,21.0,,,56.0,,,,7.0,,33.0,
2018-05-27,,,48.0,,,81.0,,,,25.0,,63.0,
2018-06-03,,,75.0,,,89.0,,,,51.0,,79.0,
2018-06-10,,,87.0,,,,,,,73.0,,92.0,
2018-06-17,,,96.0,,,,,,,88.0,,96.0,
2018-06-24,,,,,,,,,,95.0,,,
2018-07-01,,,,,,,1.0,13.0,,,,,
2018-07-08,,,,,,,6.0,29.0,,,,,2.0
2018-07-15,,,,,,,30.0,49.0,,,,,13.0
2018-07-22,,,,,,,53.0,66.0,,,,,26.0
2018-07-29,,8.0,,,,,76.0,79.0,,,,,45.0
2018-08-05,,28.0,,,,,87.0,88.0,,,,,64.0
2018-08-12,4.0,45.0,,,,,,93.0,,,,,80.0
2018-08-19,18.0,62.0,,,,,,,,,,,89.0
2018-08-26,36.0,77.0,,,1.0,,,,1.0,,,,94.0
2018-09-02,54.0,86.0,,,8.0,,,,4.0,,,,
2018-09-09,70.0,,,,21.0,,,,14.0,,,,
2018-09-16,82.0,,,1.0,36.0,,,,37.0,,1.0,,
2018-09-23,91.0,,,4.0,55.0,,,,64.0,,5.0,,
2018-09-30,,,,10.0,73.0,,,,80.0,,13.0,,
2018-10-07,,,,14.0,84.0,,,,89.0,,17.0,,
2018-10-14,,,,19.0,93.0,,,,95.0,,21.0,,
2018-10-21,,,,31.0,,,,,,,36.0,,
2018-10-28,,,,46.0,,,,,,,61.0,,
2018-11-04,,,,59.0,,,,,,,78.0,,
2018-11-11,,,,69.0,,,,,,,85.0,,
2018-11-18,,,,80.0,,,,,,,91.0,,
2018-11-25,,,,88.0,,,,,,,94.0,,
2019-04-21,,,,,,1.0,,,,,,,
2019-04-28,,,,,,4.0,,,,,,,
2019-05-05,,,,,,7.0,,,,,,1.0,
2019-05-12,,,1.0,,,14.0,,,,,,4.0,
2019-05-19,,,3.0,,,35.0,,,,,,12.0,
2019-05-26,,,11.0,,,46.0,,,,1.0,,20.0,
2019-06-02,,,28.0,,,58.0,,,,9.0,,34.0,
2019-06-09,,,48.0,,,78.0,,,,26.0,,60.0,
2019-06-16,,,66.0,,,87.0,,,,47.0,,77.0,
2019-06-23,,,81.0,,,93.0,,,,68.0,,88.0,
2019-06-30,,,87.0,,,,,,,80.0,,93.0,
2019-07-07,,,94.0,,,,,,,89.0,,96.0,
2019-07-14,,,,,,,1.0,7.0,,94.0,,,
2019-07-21,,,,,,,10.0,29.0,,,,,1.0
2019-07-28,,,,,,,28.0,48.0,,,,,10.0
2019-08-04,,4.0,,,,,53.0,66.0,,,,,29.0
2019-08-11,,14.0,,,,,72.0,75.0,,,,,50.0
2019-08-18,3.0,31.0,,,,,84.0,83.0,,,,,64.0
2019-08-25,11.0,48.0,,,,,,88.0,,,,,73.0
2019-09-01,18.0,61.0,,,,,,92.0,,,,,81.0
2019-09-08,31.0,72.0,,,,,,,,,,,85.0
2019-09-15,44.0,78.0,,,2.0,,,,6.0,,,,88.0
2019-09-22,59.0,84.0,,,8.0,,,,24.0,,,,
2019-09-29,67.0,,,,16.0,,,,42.0,,1.0,,
2019-10-06,76.0,,,1.0,30.0,,,,60.0,,3.0,,
2019-10-13,84.0,,,3.0,49.0,,,,78.0,,15.0,,
2019-10-20,,,,7.0,61.0,,,,89.0,,32.0,,
2019-10-27,,,,13.0,74.0,,,,93.0,,46.0,,
2019-11-03,,,,21.0,83.0,,,,,,62.0,,
2019-11-10,,,,30.0,,,,,,,71.0,,
2019-11-17,,,,44.0,,,,,,,77.0,,
2019-11-24,,,,57.0,,,,,,,82.0,,
2019-12-01,,,,66.0,,,,,,,86.0,,
2019-12-08,,,,74.0,,,,,,,,,
2020-04-19,,,,,,1.0,,,,,,,
2020-04-26,,,,,,11.0,,,,,,2.0,
2020-05-03,,,1.0,,,33.0,,,,,,14.0,
2020-05-10,,,3.0,,,59.0,,,,,,35.0,
2020-05-17,,,15.0,,,81.0,,,,6.0,,61.0,
2020-05-24,,,45.0,,,90.0,,,,25.0,,79.0,
2020-05-31,,,73.0,,,94.0,,,,53.0,,88.0,
2020-06-07,,,86.0,,,96.0,,,,75.0,,94.0,
2020-06-14,,,93.0,,,,,,,87.0,,96.0,
2020-06-21,,,,,,,,,,93.0,,99.0,
2020-06-28,,,,,,,,8.0,,97.0,,,
2020-07-05,,,,,,,2.0,40.0,,,,,1.0
2020-07-12,,,,,,,10.0,61.0,,,,,13.0
2020-07-19,,1.0,,,,,34.0,73.0,,,,,32.0
2020-07-26,,8.0,,,,,62.0,81.0,,,,,51.0
2020-08-02,,19.0,,,,,84.0,89.0,,,,,63.0
2020-08-09,1.0,38.0,,,,,93.0,94.0,,,,,73.0
2020-08-16,6.0,63.0,,,,,,96.0,,,,,83.0
2020-08-23,24.0,80.0,,,,,,,,,,,93.0
2020-08-30,45.0,88.0,,,7.0,,,,3.0,,,,96.0
2020-09-06,65.0,94.0,,,14.0,,,,12.0,,,,
2020-09-13,77.0,,,,26.0,,,,25.0,,,,
2020-09-20,91.0,,,1.0,49.0,,,,56.0,,1.0,,
2020-09-27,,,,4.0,70.0,,,,79.0,,10.0,,
2020-10-04,,,,8.0,80.0,,,,88.0,,18.0,,
2020-10-11,,,,15.0,92.0,,,,95.0,,46.0,,
2020-10-18,,,,27.0,96.0,,,,98.0,,72.0,,
2020-10-25,,,,40.0,,,,,,,85.0,,
2020-11-01,,,,55.0,,,,,,,91.0,,
2020-11-08,,,,78.0,,,,,,,96.0,,
2020-11-15,,,,87.0,,,,,,,98.0,,
2021-04-18,,,,,,1.0,,,,,,,
2021-04-25,,,,,,6.0,,,,,,2.0,
2021-05-02,,,,,,27.0,,,,,,16.0,
2021-05-09,,,5.0,,,49.0,,,,4.0,,34.0,
2021-05-16,,,24.0,,,78.0,,,,12.0,,63.0,
2021-05-23,,,58.0,,,90.0,,,,38.0,,83.0,
2021-05-30,,,77.0,,,95.0,,,,63.0,,91.0,
2021-06-06,,,90.0,,,,,,,83.0,,97.0,
2021-06-13,,,96.0,,,,,,,92.0,,99.0,
2021-06-20,,,,,,,,2.0,,97.0,,100.0,
2021-06-27,,,,,,,,11.0,,99.0,,,
2021-07-04,,,,,,,,32.0,,,,,3.0
2021-07-11,,,,,,,5.0,52.0,,,,,11.0
2021-07-18,,1.0,,,,,34.0,69.0,,,,,28.0
2021-07-25,,5.0,,,,,69.0,78.0,,,,,47.0
2021-08-01,,23.0,,,,,86.0,88.0,,,,,61.0
2021-08-08,2.0,42.0,,,,,92.0,94.0,,,,,73.0
2021-08-15,10.0,61.0,,,,,,97.0,,,,,83.0
2021-08-22,23.0,74.0,,,1.0,,,99.0,,,,,89.0
2021-08-29,46.0,83.0,,,2.0,,,,1.0,,,,95.0
2021-09-05,65.0,91.0,,,7.0,,,,6.0,,,,97.0
2021-09-12,82.0,,,,15.0,,,,22.0,,,,
2021-09-19,90.0,,,1.0,36.0,,,,52.0,,2.0,,
2021-09-26,96.0,,,5.0,61.0,,,,80.0,,11.0,,
2021-10-03,,,,12.0,80.0,,,,94.0,,31.0,,
2021-10-10,,,,24.0,91.0,,,,97.0,,47.0,,
2021-10-17,,,,32.0,96.0,,,,98.0,,59.0,,
2021-10-24,,,,48.0,,,,,,,74.0,,
2021-10-31,,,,61.0,,,,,,,84.0,,
2021-11-07,,,,76.0,,,,,,,93.0,,
2021-11-14,,,,86.0,,,,,,,97.0,,
2021-11-21,,,,92.0,,,,,,,99.0,,
2022-05-01,,,,,,1.0,,,,,,3.0,
2022-05-08,,,,,,7.0,,,,,,6.0,
2022-05-15,,,3.0,,,34.0,,,,1.0,,26.0,
2022-05-22,,,26.0,,,61.0,,,,14.0,,49.0,
2022-05-29,,,55.0,,,80.0,,,,39.0,,73.0,
2022-06-05,,,73.0,,,89.0,,,,58.0,,86.0,
2022-06-12,,,84.0,,,94.0,,,,76.0,,93.0,
2022-06-19,,,92.0,,,,,,,89.0,,97.0,
2022-06-26,,,,,,,,2.0,,93.0,,98.0,
2022-07-03,,,,,,,,13.0,,98.0,,,
2022-07-10,,,,,,,1.0,29.0,,,,,1.0
2022-07-17,,,,,,,9.0,46.0,,,,,5.0
2022-07-24,,1.0,,,,,33.0,65.0,,,,,26.0
2022-07-31,,7.0,,,,,56.0,77.0,,,,,41.0
2022-08-07,,20.0,,,,,77.0,87.0,,,,,57.0
2022-08-14,4.0,44.0,,,,,88.0,93.0,,,,,72.0
2022-08-21,11.0,59.0,,,,,94.0,96.0,,,,,84.0
2022-08-28,24.0,75.0,,,,,,,,,,,91.0
2022-09-04,44.0,86.0,,,1.0,,,,,,,,95.0
2022-09-11,63.0,92.0,,,10.0,,,,3.0,,,,97.0
2022-09-18,78.0,,,,23.0,,,,18.0,,,,
2022-09-25,87.0,,,1.0,42.0,,,,54.0,,,,
2022-10-02,94.0,,,3.0,69.0,,,,81.0,,11.0,,
2022-10-09,,,,7.0,85.0,,,,92.0,,37.0,,
2022-10-16,,,,14.0,92.0,,,,97.0,,56.0,,
2022-10-23,,,,22.0,96.0,,,,,,76.0,,
2022-10-30,,,,37.0,,,,,,,86.0,,
2022-11-06,,,,55.0,,,,,,,95.0,,
2022-11-13,,,,71.0,,,,,,,97.0,,
2022-11-20,,,,77.0,,,,,,,,,
2023-04-16,,,,,,1.0,,,,,,,
2023-04-23,,,,,,1.0,,,,,,,
2023-04-30,,,,,,2.0,,,,,,3.0,
2023-05-07,,,,,,14.0,,,,,,11.0,
2023-05-14,,,5.0,,,33.0,,,,3.0,,24.0,
2023-05-21,,,26.0,,,69.0,,,,17.0,,55.0,
2023-05-28,,,52.0,,,90.0,,,,39.0,,82.0,
2023-06-04,,,76.0,,,97.0,,,,62.0,,94.0,
